4002	Z-WPA	B732
4006	Z-WSG	BE20
4013	Z-FJF	E145
4014	Z-RGM	B772
4016	Z-DSA	C182
4017	Z-WPQ	E145
4028	Z-FJG	E145
403A	Z-FJH	E145
4048	Z-JEN	EC30
4055	Z-TAA	C208
406E	Z-WPU	E145
407D	Z-IML	BE20
4092	Z-FLA	A343
409B	Z-FLD	A343
409C	Z-FLE	A343
412D	Z-WPF	B762
6012	C9-MEX	E145
6015	FAM-002	H25B
6016	C9-BAQ	B737
6019	C9-MEK	E145
601C	C9-HMQ	A139
601E	C9-MEL	CRJ2
601F	C9-AUZ	DH8D
6023	C9-BAR	B737
6024	C9-HMT	A139
602A	C9-AUW	DH8C
602F	C9-WAU	B350
6030	C9-AUV	DH8D
6037	FA-655	C295
6041	C9-AMA	E190
6042	C9-AMB	E190
60A4	C9-AXT	B733
60AB	C9-ACE	A320
60AC	C9-ACF	A320
71B4	ZT-RAX	A119
800A	ZS-ZEN	H25B
801B	ZS-AAK	J328
801D	ZS-AAM	PRM1
8024	ZS-AAT	J328
8036	ZS-ABL	C206
8045	ZS-ACA	SR22
8052	ZS-ALN	E135
8058	ZS-ACT	CL30
8064	ZS-ADF	BE36
8071	ZS-OCI	BE20
8072	ZS-ADT	SR22
8078	ZT-RTC	EC20
8080	ZS-YAB	E190
8081	ZS-YAC	E190
8082	ZS-ZCA	B38M
808C	ZS-YAA	E190
8097	ZS-AFE	PC6T
8099	ZS-ABM	C208
809F	ZT-RWK	B429
80A1	ZS-AFO	C182
80A3	ZS-TAG	B733
80A4	ZS-AFR	AT45
80B3	ZS-LBD	C208
80D7	ZT-RMS	EC30
80EB	ZS-LET	BE58
80EC	ZS-MFS	AC50
80FC	ZS-DEX	F900
80FE	ZS-AJD	LJ45
8106	ZS-AJL	M20P
8109	ZS-NGT	BE58
810A	ZS-AJP	SR22
810B	ZS-OEE	F406
8112	ZS-MCW	C172
8119	ZS-PNR	BE20
811F	ZS-TEY	B734
8125	ZS-ALU	E135
8126	ZS-GAO	A320	A
8129	ZS-CMN	B190
812A	ZU-PBL	SLG4
8134	ZS-ALF	E135
8139	ZS-ALY	E135
813A	ZS-ALL	E135
813B	ZS-ALM	E135
813D	ZS-ALO	E135
8140	ZS-ALR	E135
8142	ZS-ALT	B190
814A	ZS-AMB	B350
814C	ZS-XCL	AT72
8157	ZS-RXC	EN48
8158	ZS-LMY	C402
815B	ZS-AMS	PC12
816B	ZS-TCV	AT8T
817C	ZS-ANZ	CL60
817D	ZS-AOA	H25B
8187	ZS-ZWV	B738
818D	ZT-RVP	EC45
818F	ZS-SWZ	P46T
8194	ZS-DFK	C208
81A9	ZS-APS	PC12
81B0	ZS-APZ	C402
81CB	ZS-ARA	LJ35
81D3	ZS-ARI	S22T
81DC	ZS-LRF	BE36
81DE	ZS-LVH	C208
81E2	ZS-GCE	GLID
81EF	ZS-SZE	A320
81F1	ZS-ASM	C441
81F2	ZS-ASN	DC3
8202	ZS-ATD	L410
8205	ZS-ATG	L410
8208	ZS-ATJ	L410
8209	ZS-ATK	L410
820A	ZS-ATL	L410
820B	ZS-ATM	PC12
8210	ZS-BIA	PAY3
822C	ZS-ALG	E135
8234	ZS-AVB	C210
8235	ZS-AVC	C172
8239	ZS-AVG	J3
8244	ZS-AVR	SR22
8256	ZS-AWJ	J3
8257	ZS-AWK	J3
8262	ZS-SWU	C150
8267	ZS-AXA	XA42
827E	ZS-AXX	PA12
