000F	CN-RGA	B744
0017	CN-RNJ	B738
0018	CN-RNK	B738
001B	CN-RNL	B737
001C	CN-RNM	B737
0025	CN-RNP	B738
0026	CN-RNQ	B737
0027	CN-RNR	B737
0031	CN-AOG	C130
0035	CN-AOE	C130
0036	CN-AOF	C130
0037	CN-AOI	C130
0038	CN-AOJ	C130
0039	CN-AOK	C130
003A	CN-AOL	C130
003B	CN-AOM	C130
003C	CN-AON	C130
003E	CN-AOP	C130
0040	CN-AOR	C130
0041	CN-AOS	C130
0044	CN-RNU	B738
0045	CN-RNV	B737
0053	CN-RNW	B738
0057	CN-RNZ	B738
0058	CN-ROA	B738
0059	CN-ANJ	B350
005A	CN-ROB	B738
005B	CN-ROC	B738
005E	CN-AMB	CN35
005F	CN-AMC	CN35
0061	CN-AME	CN35
0063	CN-AMG	CN35
0065	CN-ROD	B737
0066	CN-ROE	B738
006D	CN-TSA	DA42
006E	CN-ROJ	B738
006F	CN-ROH	B738
0072	CN-ROL	B738
0073	CN-ROK	B738
0074	CN-TWY	B350
0078	CN-TLB	C525
007A	CN-ROP	B738
007C	CN-CEC	DA40
007D	CN-ROR	B738
007E	CN-CEE	DA40
007F	CN-CED	DA40
0082	CN-CEG	DA40
0083	CN-CEF	DA40
0087	CN-TKN	FA10
008B	CN-ROS	B738
008E	CN-AMI	B350
0092	CN-ROT	B738
0093	CN-RBS	H25B
0095	CN-ROU	B738
009F	CN-ROW	B763
00A1	CN-ROX	B733
00A2	CN-AMP	C27J
00A3	CN-AMO	C27J
00A8	CN-MMJ	C56X
00AB	CN-AMK	C56X
00AC	CN-MMT	GLF5
00AE	CN-ROY	B738
00AF	CN-ROZ	B738
00B0	CN-BTA	TEX2
00B1	CN-BTB	TEX2
00B2	CN-BTC	TEX2
00B3	CN-BTD	TEX2
00B4	CN-BTE	TEX2
00B5	CN-BTF	TEX2
00B6	CN-BTG	TEX2
00B7	CN-BTH	TEX2
00B8	CN-BTI	TEX2
00BB	CN-BTJ	TEX2
00BC	CN-BTM	TEX2
00BF	CN-BTN	TEX2
00C1	CN-BTP	TEX2
00C3	CN-BTR	TEX2
00C4	CN-BTU	TEX2
00C5	CN-BTT	TEX2
00C6	CN-BTW	TEX2
00C7	CN-BTV	TEX2
00C9	CN-BTX	TEX2
00CA	CN-RGC	B788
00CB	CN-RGB	B788
00CC	CN-MVI	B738
00D1	CN-TAX	BE9L
00D2	CN-TJS	H25B
00D5	CN-BZE	EC45
00DE	CN-SHS	E190
00E1	CN-CPC	B350
00E5	CN-BZL	EC35
00E7	CN-TLA	C680
00EA	CN-RGG	B738
00EB	CN-RGF	B738
00EC	CN-RGI	B738
00ED	CN-RGH	B738
00EE	CN-ATN	CL2T
00EF	CN-RGE	B738
00F0	CN-ABR	CP23
00F1	CN-ABS	CP23
00F2	CN-COE	AT72
00F3	CN-ABT	CP23
00F4	CN-CPH	C208
00F5	CN-COF	AT76
00F8	CN-RGJ	B738
00FB	CN-RGK	B738
00FC	CN-ABQ	CP23
00FD	CN-ABP	CP23
00FE	CN-ABV	CP23
00FF	CN-ABU	CP23
0100	CN-COH	AT76
0101	CN-COG	AT76
0103	CN-FCC	B350
0104	CN-RGM	B738
0105	CN-RGN	B738
0106	CN-CTA	CL30
0107	CN-ATO	CL2T
0109	CN-ATP	CL2T
010D	CN-NMH	A320
010E	CN-COI	AT76
010F	CN-MMS	A139
0110	CN-RGO	E190
0111	CN-RGP	E190
0112	CN-RGQ	E190
0113	CN-RGR	E190
0114	CN-TRS	G280
0118	CN-NMI	A320
011C	CN-TKX	C650
0121	CN-RGS	B788
0122	CN-RGT	B788
0123	CN-RGU	B788
0124	CN-NMJ	A320
0125	CN-MSM	RJ1H
0126	CN-TKD	C650
0127	CN-NMK	A320
0129	CN-HAE	A139
012A	CN-HAF	A139
012B	CN-NML	A320
012C	CN-RGV	B738
012D	CN-MMR	GLF5
012F	211	B350	A
0130	CN-MBH	B748
0131	212	B350
0132	CN-LMH	GLF4
0135	CN-GMT	GLF4
0136	CN-MMH	GLF6
0137	CN-SRA	C650
0139	CN-MAX	B38M
013A	CN-MAY	B38M
013C	CN-RAM	B789
013D	CN-RGX	B789
013E	CN-RGZ	B789
