0012	OK1	GLEX
0013	JK-1	PC12
0024	A2-TRG	PC12
002B	A2-DBH	BE9L
0031	A2-BRK	H25B
0032	A2-OKG	C208
0033	A2-OKH	C208
0035	A2-OKA	C208
0036	A2-OKB	C208
0037	A2-OKC	C208
0038	A2-OKD	C208
0039	A2-OKE	C208
003A	A2-OKF	C208
003B	A2-OKJ	C208
003D	A2-ABK	AT76
003E	A2-ABL	AT76
003F	A2-ABM	E170
0040	DS-1	PC24
0043	A2-OKP	C208
004B	A2-OKQ	C208
005A	A2-AGO	BE20
0062	A2-SYN	C210
006B	A2-ASD	BE20
0076	A2-ABE	E75S
0184	RA-3104G	PC12
4002	TJ-AAW	GLF3
4044	TJ-QCA	B737
4115	TJ-XRL	B350
4116	TJ-KMK	E135
4138	TJ-KMM	E145
4143	TJ-ZAS	E145
4150	TJ-KKA	E35L
4443	TJ-XCD	C130
5287	D6-TYR	B733
60E1	TN-AIQ	B190
6103	TN-AJY	B733
6107	TN-AKC	B733
6109	TN-AKE	BE40
610A	TN-AKF	B735
610C	TN-AKH	B735
6BC1	TN-ELS	FA7X
8224	TU-TRE	A319
8226	TU-TRG	A339
8227	TU-TRH	A339
8229	TU-TRJ	A319
8245	TU-TRF	A319
8257	TU-TSX	A20N
8258	TU-TSY	A319
8259	TU-TSZ	A319
842B	TU-TSW	A320
842C	TU-GBM	PC12
8431	TU-TSA	A319
8432	TU-TSB	A319
8438	TU-TSH	BE20
8439	TU-TSI	DH8D
843C	TU-TSL	DH8D
8451	TU-TSQ	DH8D
8454	TU-TST	A319
84AE	TU-TJN	BE58
84B4	TU-GFU	PC12
84C4	TU-TLB	P28A
84D8	TU-GGY	PC12
8613	TU-VAS	A319
8615	TU-VAE	GLF5
8643	TU-TRC	A319
8656	TU-TSV	A320
88EC	TU-HHM	EC45
89A0	TU-HNA	A169
8F42	TU-VMC	C295
8F43	TU-VHL	MI8
8F44	TU-VHN	MI8
8F45	TU-VAG	GLF4
8F46	TU-VAI	GLF4
8F47	TU-VML	BE9L
8F4A	TU-VAJ	A20N
8F4B	TU-VHA	AS50
8F4E	TU-VMF	B350
8F4F	TU-VMD	B350
8FF0	TU-VHT	MI24
8FF4	TU-VHS	MI24
8FFE	TU-VMB	AN26
8FFF	TU-VMA	AN26
E004	TR-KSP	GLF4
E00A	TR-KPR	B772
E015	TR-KGM	GLF6
E017	TR-AFB	AT45
E019	TR-ABJ	AT76
E021	TR-AEM	B350
E093	TR-LLA	AN26
E12D	TR-LJN	AT76
E130	TR-LJQ	AT72
E131	TR-LJR	AT75
E140	TR-LKA	AT46
E325	TR-KJF	C295
E326	TR-KJG	AT76
E3E6	TR-KPG	GLF5
E636	TR-ABW	AT76
EE47	TR-XCH	AT73
