0123	TG-CAP	COL4
0490	CU-T1168	AN2
04D8	CU-T1240	AT45
04E2	CU-T1250	IL96
04E3	CU-T1251	IL96
05B0	CU-T1456	AT45
06A6	CU-T1702	T204
06AE	CU-T1710	A158
06AF	CU-T1711	A158
06B0	CU-T1712	A158
2000	YS-904P	BE20
2001	YS-100P	BE9L
2002	YS-999P	BE9L
2003	YS-210P	T210
2005	YS-196P	BE33
2006	YS-197P	C182
2007	YS-261P	P28R
2008	YS-1000P	R44
2009	YS-132N	A109
200B	YS-1003P	B06
200C	YS-777P	BL8
2010	YS-255P	C172
2011	YS-767P	BL8
2014	700	C208
2040	YS-347P	DC3
20BD	PNC-05	R44
2143	YS-1001P	B407
214F	YS-243P	PA27
233F	YS-171P	BE33
4001	TG-AIR	LJ60
4006	TG-LOP	BE20
400E	TG-IRT	B407
4011	TG-NAT	C208
4013	TG-GON	BE36
4015	TG-TRC	AT76
4018	TG-TRD	AT76
4019	TG-TRE	B505
401B	TG-KBG	BE9L
401C	TG-DAE	C441
4020	TG-TIN	C414
4022	TG-FYL	BE20
4023	TG-CYC	BE9L
4025	TG-WTF	C182
4026	TG-PQS	C182
4028	TG-ULE	B06
4029	TG-CCA	B407
402B	TG-NIN	AS50
402C	TG-ILO	BE58
402D	TG-PJO	B407
4030	TG-MIN	BE36
4033	TG-COH	LJ75
4037	TG-JFV	B505
4039	TG-ALI	C182
403C	TG-MAM	BE30
403D	TG-JCC	E110
403E	TG-CCC	BE9L
403F	TG-PLH	B06
4040	TG-RIE	C501
4043	TG-VER	BE58
4044	TG-CFN	BE9L
4046	TG-CSC	BE9L
4049	TG-MOR	B58T
404A	TG-RWC	BE9L
404B	TG-ZZA	AC90
404C	TG-CDG	B06
404D	TG-CMD	BE58
4050	TG-OLE	BE35
4052	TG-KME	BE58
4054	TG-CRP	B505
4056	TG-RIO	BE58
4057	TG-ZZZ	PA34
405A	TG-AJR	SR22
405C	TG-COC	BE20
405E	TG-EME	BE9L
405F	TG-TAP	C310
4061	TG-FBG	BE9L
4062	TG-OIL	BE20
4063	TG-BEA	C25A
4065	TG-JMB	PA34
4066	TG-PIP	BE35
4068	TG-DHP	AT43
406C	TG-ROS	C182
4070	TG-SBO	PA34
4073	TG-OZI	BE58
4074	TG-ICE	BE9L
4075	TG-MYS	LJ31
4076	TG-SIM	EC30
4077	TG-GAR	PAY2
4078	TG-DYM	BE36
407B	TG-BAO	BE58
407C	TG-DOR	AS50
407E	TG-GOR	AS50
4080	TG-VOY	C182
4081	TG-TUY	BE95
4082	TG-RAT	C182
4083	TG-GCA	BE55
4085	TG-VAL	PAY2
4086	TG-MRP	BE9L
4087	TG-HAF	C172
4088	TG-KAT	BE55
4089	TG-OSI	BE55
408A	TG-DID	AS50
408B	TG-TFM	EC30
408D	TG-CEB	AS50
4090	TG-GUY	BE35
4091	TG-CYO	PAY1
4093	TG-CUP	BE55
4094	TG-JES	BE33
4095	TG-CYR	C182
4096	TG-PWO	BE9L
4098	TG-VIM	BE58
4099	TG-BEF	C182
409A	TG-MIO	AS50
409B	TG-MER	C182
409E	TG-PAF	PA23
40D0	TG-BLO	C172
4100	TG-TAO	AS50
4101	TG-BLK	R44
4103	TG-CCG	C182
4104	TG-EDY	AEST
4105	TG-TLT	P28S
4106	TG-AYR	C172
4108	TG-RAF	SR22
410A	TG-ITM	AS50
410B	TG-BUD	AS50
410D	TG-MLO	AS50
410E	TG-DIS	EC30
410F	TG-ELI	AS50
4112	TG-BIP	PA34
4113	FAG115	B06
4114	FAG-360	C208
4116	630	C208
4117	FAG125	B06
4118	TG-MLE	AS50
411A	TG-ISA	EC30
411B	TG-KUL	AS50
411C	TG-LES	AS50
411D	TG-CIS	C182
4120	TG-MUG	BE35
4121	TG-AAI	AS50
4122	TG-ACT	BE76
4125	FAG104	B212
4126	TG-ABY	PA34
4128	TG-KCS	PA34
412C	TG-MAF	BE36
412E	TG-HUY	C172
412F	TG-BYT	R44
4131	TG-ESA	BE55
4134	TG-OBI	S22T
4135	TG-KOG	P28B
4136	TG-AMT	C172
4138	TG-BRC	BE55
4139	TG-KAI	C172
413A	TG-TWO	C337
413C	TG-JUR	C172
413D	TG-ZAR	S22T
413F	TG-JMG	AS50
4140	TG-MOM	C182
4143	TG-JOP	PA27
4144	TG-GEU	P28B
4145	TG-LMV	PA34
4146	TG-LFG	PA31
4147	TG-VAR	BE35
4149	TG-MIK	AS50
414C	TG-MNI	AS50
414D	TG-BED	BE36
414E	TG-HVO	B06
4150	TG-KIN	BE55
4151	607	C208	A
4152	TG-PCJ	PA34
4153	TG-CAT	BE35
4155	TG-VAC	BE35
4156	TG-ACG	C172
4158	TG-FSD	T210
415B	TG-SKG	C206
4161	TG-COB	PAY2
4162	TG-AVE	T206
4163	TG-ART	P337
4165	TG-DAD	BE36
4167	TG-MAW	BE35
4168	TG-SIR	C172
4169	TG-JOY	BE33
416E	TG-RPR	B06
416F	TG-CBC	B407
4170	TG-TFI	BE36
4171	TG-EAG	C172
4173	TG-CES	B407
4175	TG-YEE	PA34
4176	TG-BAY	T206
417A	TG-GUN	BE23
417B	TG-MDO	BE55
417F	TG-DEK	C180
4180	TG-AAJ	R66
4181	TG-JPC	EC30
4182	TG-HAS	BE35
4184	TG-FLY	BE30
4186	TG-PIV	PA34
4187	TG-ROD	PA27
4188	TG-MYT	PAY2
418C	TG-RED	R66
418D	TG-CSK	C172
418F	TG-MIC	B06
4190	TG-CUY	R44
4192	TG-VSM	B06
4193	TG-HRM	B06
4196	038	T210
4197	TG-EAS	C182
419D	TG-NDF	AS50
419E	TG-AGE	B06
419F	TG-LRN	C172
41C6	TG-NGT	PA34
4200	TG-DOT	AS50
4201	TG-GEA	AS50
4202	TG-GUH	EC30
4204	TG-SUN	R66
4205	TG-KPK	C182
4208	TG-EFL	C182
4209	TG-HGF	S22T
420A	TG-PJL	AS50
420B	TG-FJP	R66
4210	TG-CFT	AS50
4211	TG-CYE	PA31
4213	TG-DAY	C172
4216	TG-SZC	R44
4217	TG-AGB	AS50
4218	TG-GIM	BE35
421B	TG-ATF	AT75
421D	TG-MLP	C310
4220	TG-ACC	C172
4223	TG-JMM	B505
4225	TG-ROF	C182
4227	FAG-108	B212
4228	TG-ASR	B407
4229	TG-PSI	C182
422A	TG-SSS	BE35
422B	TG-BEK	C182
422C	TG-BOP	PA31
422D	TG-AOK	B06
422E	TG-CTY	AS50
4230	TG-CMB	R66
4231	TG-WIN	R44
4232	TG-FER	T206
4233	TG-ABE	C210
4235	TG-NAH	PA23
423E	TG-LYL	C208
4241	TG-MCS	B06
4242	TG-SEX	PA34
4243	TG-SYR	R44
4247	TG-OSO	AS50
4248	TG-MAG	B06
424C	TG-CIB	T210
424E	TG-PET	C182
424F	TG-PIC	C182
4255	TG-NAI	C208
4258	TG-CHI	C172
4259	TG-ATC	AT75
425C	TG-EZF	C25C
4269	TG-EAA	C172
4275	TG-TIT	B06
427F	FAG141	B412
4280	FAG142	B412
4290	030	T206
4291	031	T206
4295	TG-LUB	AS50
4298	TG-ACE	B407
4300	FAG130	UH1
4303	TG-TAX	BE33
4310	TG-ERC	AS50
4311	TG-TJL	L410
4320	TG-GMP	B350
432F	TG-DHL	C182
433B	TG-CHJ	B06
434A	TG-NOV	B429
4356	101	B412	A
435C	143	B429	A
4374	TG-DHJ	AT43
438D	TG-SOL	T210
439F	TG-IMT	PA34
4421	TG-QUI	C182
4453	EMA-400	P28A
4500	TG-RRC	C182
4510	TG-DOC	C172
4550	TG-LAR	C82S
4610	TG-JFM	B06
4669	TG-PAP	C206
4701	TG-CCL	BE95
4790	TG-JAO	PA46
48EF	TG-TYA	PA34
4900	TG-ESE	B407
4950	TG-KIS	P28B
4977	TG-SPY	AS50
4FFF	TG-RIF	C525
6001	8R-GTG	C208
6003	8R-GHT	C208
6004	8R-GHM	BN2P
6005	8R-GAD	C208
6006	8R-GAE	C208
6007	8R-GAQ	B190
6008	8R-EAR	B190
