0000	YN-CHX	C208
0002	YN-CIE	AT43
0004	YN-CIU	B06
0006	YN-CHV	C208
000A	YN-CGR	C206
000D	YN-CHE	C172
0249	YN-CHU	C208
0492	YN-CHW	C208
2007	HP-1373CMP	B737
2008	HP-1374CMP	B737
2009	HP-1375CMP	B737
200A	HP-1376CMP	B737
200B	HP-1377CMP	B737
200C	HP-1378CMP	B737
200F	HP-1520CMP	B737
2010	HP-1521CMP	B737
2011	HP-1522CMP	B738
2012	HP-1523CMP	B738
2016	HP-1524CMP	B737
2017	HP-1525CMP	B737
2018	HP-1526CMP	B738
2024	HP-1558CMP	E190
2025	HP-1530CMP	B737
2026	HP-1531CMP	B737
2028	HP-1560CMP	E190
202B	HP-1532CMP	B738
202C	HP-1533CMP	B738
203A	HP-1534CMP	B738
203B	HP-1535CMP	B738
203D	HP-1568CMP	E190
2045	HP-1536CMP	B738
2046	HP-1537CMP	B738
2047	HP-1538CMP	B738
204C	HP-1539CMP	B738
204E	HP-1A	E35L
204F	HP-1711CMP	B738
2050	HP-1712CMP	B738
2051	HP-1713CMP	B738
2052	HP-1714CMP	B738
2056	HP-1810DAE	B752
2057	HP-1910DAE	B752
2058	HP-2010DAE	B752
2059	HP-1715CMP	B738
205B	HP-1716CMP	B738
205C	HP-1717CMP	B738
205D	HP-1718CMP	B738
205E	HP-1719CMP	B738
205F	HP-1720CMP	B738
2061	HP-1722CMP	B738
2063	HP-1723CMP	B738
2064	HP-1724CMP	B738
2065	HP-1725CMP	B738
2066	AN-040	C208
2068	HP-1726CMP	B738
2069	HP-1727CMP	B738
206A	HP-1728CMP	B738
206B	HP-1729CMP	B738
206C	HP-1730CMP	B738
2070	HP-1721CMP	B738
2073	HP-1821CMP	B738
2074	HP-1822CMP	B738
2075	HP-1823CMP	B738
2076	HP-1824	B738
2077	HP-1824CMP	B738
2081	HP-1825CMP	B738
2082	HP-1826CMP	B738
2083	HP-1827CMP	B738
2084	HP-1828CMP	B738
2086	HP-1764PST	F100
208C	HP-1829CMP	B738
208D	HP-1830CMP	B738
208E	HP-1831CMP	B738
2093	HP-1832CMP	B738
2094	HP-1833CMP	B738
2095	HP-1834CMP	B738
2096	HP-1835CMP	B738
209B	HP-1793PST	F50
209C	HP-1794PST	F50
209F	HP-1797	C501
20A0	HP-9MZ	K100
20A4	HP-1836CMP	B738
20A5	HP-1837CMP	B738
20A6	HP-1838CMP	B738
20A7	HP-1839CMP	B738
20A8	HP-1840CMP	B738
20A9	HP-1811PS	C208
20AB	HP-1841CMP	B738
20AC	HP-1842CMP	B738
20AD	HP-1843CMP	B738
20B1	HP-7JH	C550
20B4	HP-1844CMP	B738
20B5	HP-1845CMP	B738
20B6	HP-1846CMP	B738
20B9	HP-1847CMP	B738
20BA	HP-1848CMP	B738
20BB	HP-1849CMP	B738
20BC	HP-1850CMP	B738
20BD	HP-1851CMP	B738
20BE	HP-1852CMP	B738
20C4	HP-1904SX	EC30
20C9	HP-1853CMP	B738
20CB	HP-1920	BE20
20CC	HP-2110DAE	B752
20CE	HP-1854CMP	B738
20CF	HP-1855CMP	B738
20D0	AN-261	DHC6
20D5	HP-1856CMP	B738
20D6	HP-1857CMP	B738
20DA	AN-262	DHC6
20DB	HP-3110DAE	B734
20DC	HP-9901CMP	B39M
20DD	HP-9902CMP	B39M
20DE	HP-9903CMP	B39M
20DF	HP-9904CMP	B39M
20E0	HP-9905CMP	B39M
20E1	HP-1746FT	C172
20E2	HP-1887AP	P28A
20E3	HP-2771	BE55
20E4	HP-1786FT	C172
20E6	HP-1884AP	P28A
20E7	HP-1550	BN2P
20E9	HP-1883AP	P28A
20EA	AN-401	B350
20EB	HP-1186	PA31
20EC	HP-1907BL	P28A
20ED	HP-3017HF	EC30
20EE	HP-1579BL	P28A
20EF	HP-2464	PA27
20F0	HP-3210DAE	B734
20F1	HP-1766FT	C172
20F2	HP-9906CMP	B39M
20F3	HP-9908CMP	B39M
20F4	HP-9907CMP	B39M
20F5	HP-9909CMP	B39M
20F6	HP-9910CMP	B39M
20F7	HP-1815BL	P28A
20F9	HP-1802	C208
20FC	HP-0840RJ	B06
20FE	HP-1686CH	AS50
20FF	HP-1886AP	P28A
2100	HP-1581AP	P28A
2101	HP-21	BN2P
2104	HP-1459	R44
2106	HP-1580AP	P28A
2109	HP-1554FT	C172
210B	HP-76JL	BN2P
210C	HP-9911CMP	B39M
210D	HP-9912CMP	B39M
210E	HP-9913CMP	B39M
210F	HP-1875SK	PA32
2111	HP-1944SX	C208
2113	HP-1737SX	C182
211D	HP-3310DAE	B763
211E	HP-1819BL	P28A
211F	HP-1697RR	PA34
212E	HP-900HT	EC30
2131	HP-1234	R66
2132	HP-1878SK	P28A
2135	HP-12V	BE9L
2136	HP-1874SX	C172
2137	HP-3500	AS50
2138	HP-3010	C560
213A	HP-1700FT	C152
213B	HP-1667	C172
213E	HP-1GS	BE58
213F	HP-9999	EC20
2140	HP-777	PA34
2143	AN-405	BE58
2144	HP-715	H25B
2147	HP-1952	DHC6
214A	HP-1674	C182
214B	HP-216	EC30
214C	HP-123AAD	K100
214D	HP-124AAD	K100
214E	HP-407RJ	B407
214F	HP-1953	C206
2151	HP-1508PA	H500
2153	HP-1582AP	P28A
2154	HP-11BL	B06
2156	HP-15GS	BE58
2157	HP-1885AP	P28A
2159	HP-1617RR	BN2P
215A	AN-001	A139
215B	AN-140	A139
215D	HP-4500	K100
215E	HP-743	C182
215F	HP-9914MP	B39M
2160	HP-9915CMP	B39M
2161	HP-9916CMP	B39M
2162	HP-9917CMP	B39M
2164	HP-1882	C182
2166	HP-9918CMP	B39M
2167	HP-9919CMP	B39M
2168	HP-9920CMP	B39M
216C	HP-9921CMP	B39M
216D	HP-9922CMP	B39M
216E	HP-20A	C208
2171	HP-512CP	C206
2172	HP-3510DAE	B763
2173	HP-125AAD	BE9L
2176	HP-1927AE	C208
2178	AN-402	BE20
2179	HP-9923CMP	B39M
217A	HP-9924CMP	B39M
217B	HP-9925CMP	B39M
217C	HP-9926CMP	B39M
217D	HP-880BL	PA34
217E	AN-139	A139
2180	HP-126AAD	C208
2182	HP-77	R66
2183	HP-1939UCG	B722
2186	HP-1891PST	F50
2187	HP-5DMB	BE20
2188	HP-9927CMP	B39M
2189	HP-9928CMP	B39M
218A	HP-9929CMP	B39M
218B	HP-9930CMP	B39M
218C	HP-9931CMP	B39M
218D	HP-9932CMP	B39M
218E	HP-25SKT	K100
218F	HP-1784BL	P28A
2190	HP-1808	AS50
2191	HP-1900PST	F50
2194	HP-3610DAE	B763
2195	HP-3710DAE	B763
2197	HP-27	BE40
2199	HP-1401	C182
219B	HP-2000	B06
219D	HP-1938UCG	B733
219F	HP-3810DAE	B763
21A0	HP-3910DAE	B763
21A1	HP-88	R44
21A2	HP-1861	P28A
21A3	HP-9801CMP	B38M
21A4	HP-9802CMP	B38M
