0000	XB-RGR	P28R
0002	XB-CIZ	C182
0003	XB-NDL	BE33
0005	XA-VOC	A319
0006	XB-YUK	C182
0008	XB-RJJ	C414
0009	XB-KXU	C337
000F	XC-NPF	B722
0010	XB-JXP	C82R
0014	XB-ANI	T206
0019	XA-ECA	B733
001B	XA-CMD	B412
001D	XA-MIA	B738
001E	XA-ZAM	B738
0022	XA-JOY	B738
002A	XA-NJM	LJ40
0030	XA-VOE	A319
003F	TP-02	B733
004C	XB-GSI	T206
005E	XB-ANQ	AEST
007C	XB-KDK	LJ31
007D	XA-BWB	H25B
0085	XA-MAR	FA7X
0087	XA-UVS	FA50
0088	XA-RTS	C680
0092	XB-GBN	C441
0098	XA-VLA	LJ60
00B9	XA-SOR	CL60
00D0	XC-PFT	GLF2
00DA	XA-PRA	LJ45
0103	XB-SSL	BE9L
0111	XB-LRE	PA27
0115	XA-ZTI	LJ60
0131	XB-JHV	LJ28
0134	XA-JZL	CL60
014B	XA-EVG	CL60
0150	XA-ZTA	LJ60
0157	XA-AVO	H25B
0162	XA-DAB	GLF5
0165	XB-DGA	C525
0187	XB-ROC	C55B
0188	XA-UXK	CL60
01A0	XA-AAO	H25B
01A2	XC-BCO	DH8B
01B0	XC-CFE	C650
01B4	XA-VIG	LJ60
01B8	XA-SDU	C650
01E0	3520	B732
01E8	XA-TZF	CL60
01F6	XA-UUW	LJ35
0201	XA-MKI	GLF5
0205	XA-TVO	BE20
020B	XA-ORL	H25B
0234	XA-ALA	J328
023A	XA-TMZ	C650
0244	XA-AAM	B737
0248	XB-BBO	GLF2
024D	XB-IKO	PC12
025A	XA-VYC	LJ45
025B	XA-AYL	GLEX
0262	XA-FMM	H25B
0270	XB-PGP	H25B
0273	XA-NAM	B737
0276	XA-JHE	GALX
0277	XA-JOS	PC12
027B	XB-GSM	LJ35
027F	XC-SLP	BE20
0285	XA-FAF	BE40
0286	XA-UAU	AT45
028D	XA-CZG	LJ35
028E	XA-SAP	LJ45
0297	XA-UBI	LJ31
02A0	XA-GBM	C650
02A8	XA-XGX	C650
02AA	XB-EIH	AC90
02AC	XB-GBC	LJ35
02BA	XA-RYM	H25B
02C7	XA-TYD	BE40
02CA	XA-AFX	LJ31
02CB	XB-WZW	LJ35
02CF	XA-GAO	BE40
02D0	XA-TTS	BE40
02D3	XB-LWN	C550
02DC	XB-FFF	LJ31
02DD	XB-FKT	LJ31
02DE	XB-JJS	LJ25
02ED	XB-INI	BE40
02F1	XA-ATL	GLF5
02F4	XC-CAM	SBR1
02FF	XA-OSB	SVNH
0301	XB-GFI	C550
0303	XA-PAM	B737
0312	XA-VOA	H25B
031E	XA-MMI	LJ25
0322	XB-VSA	LJ28
0331	XA-ARQ	LJ31
0332	XA-SNI	LJ40
0333	XB-OTI	A109
0334	XC-GDT	C560
0339	XA-KCM	LJ60
033D	XA-BAE	C750
0341	XB-MHN	PA34
