1001	V5-NAM	F900
1002	V5-NAG	LJ31
1009	V5-UDP	RV10
100A	V5-TGI	PC12
100C	V5-MAC	AC90
100E	V5-WAR	F406
1010	V5-WAN	B350
1011	V5-BTO	B350
1019	V5-RON	LJ75
101E	V5-JDL	MU2
1020	V5-NVP	BE20
1021	V5-WWA	B190
1022	V5-MPK	MU2
1025	V5-ANI	E135
1027	V5-ANM	A319
102A	V5-ANF	E135
1031	V5-ANN	A319
1035	V5-PJM	GLF3
1036	V5-WEC	E145
1038	V5-ANK	A319
103C	V5-ANP	A332
103D	V5-ANH	E135
103E	V5-ANG	E135
103F	V5-GON	FA7X
1047	V5-NDB	C56X
1048	V5-EMA	C210
104F	V5-WEN	E145
1053	V5-WAY	F406
1054	V5-WIN	E145
1055	V5-WEJ	E135
1060	V5-WEL	E145
1069	V5-SAN	B190
1096	V5-DAN	B350
109B	V5-WWR	B350
10A4	V5-WWM	F406
2031	E3-AAQ	B762
2036	E3-AAS	PC6T
3144	RA-67172	C525
3547	RA-67431	C525
