D847	I-A642	EVSS
FA00	I-DIET	F8L
FBD4	D-MTME	SHRK
FC4F	MM62352	P180
FC52	MM82237	A169
FC57	CSX82234	A189
FC59	CSX82233	A189
FC5D	MM82230	A169
FC5E	MM82229	A169
FC5F	CSX55290	M346
FC61	MM62338	P180
FC62	MM82137	A119
FC63	MM82136	A119
FC64	MM82135	A119
FC65	CSX82228	A189
FC68	CSX82227	A189
FC69	CSX82224	A139
FC6B	CSX82222	A169
FC6C	MM82221	A169
FC6D	MM82220	A169
FC6E	MM82219	A169
FC6F	MM82218	A169
FC70	MM62339	P180
FC76	CSX82217	A149
FC77	MM82134	A119
FC78	MM82133	A119
FC79	MM82132	A119
FC7A	MM82116	A169	A
FC7B	MM82215	A169
FC7C	MM82214	A169
FC7E	CSX82213	A189
FC7F	MM82212	A169
FC82	MM82207	A169
FC83	CSX82205	A169
FC85	MM82204	A169
FC86	MM82203	A169
FC87	CSX62350	AT76
FC8B	MM82131	A119
FC8C	MM82130	A119
FC8D	MM82129	A119
FC90	CSX55287	M346
FC91	MM82197	A169
FC92	MM82196	A169
FC93	CSX82195	A149
FC95	CSX82191	A169
FC96	MM82188	A169
FC97	CSX82186	A149
FC98	MM82185	A139
FC99	MM62334	P180
FC9A	CSX82183	A169
FC9B	CSX82182	A169
FC9C	CSX62348	C27J
FC9D	MM82128	A119
FC9E	MM82127	A119
FC9F	MM82126	A119
FCA0	MM82181	A169
FCA2	MM62346	GLF6
FCA3	MM62345	GLF6
FCA4	MM62344	GLF6
FCA5	MM62343	GLF6
FCA6	CSX55284	M346
FCA7	MM82180	A139
FCAA	MM62337	P180
FCAB	CSX62347	C27J
FCAD	CSX82175	A169
FCAE	MM82174	A169
FCB0	MM62336	P180
FCB2	MM82125	A119
FCB3	MM82124	A119
FCB4	MM82123	A119
FCB5	CSX82150	A169
FCB6	MM62335	P180
FCB8	MM82122	A119
FCB9	MM82121	A119
FCBB	CPX622	M346
FCBC	MM82120	A119
FCBD	MM82161	A169
FCBE	MM82160	A169
FCBF	MM82159	A169
FCC0	CSX82158	A149
FCC1	MM82157	A169
FCC2	CSX62333	C27J
FCC3	MM82119	A119
FCC5	CSX82148	A149
FCC6	MM82147	A169
FCCA	CSX82140	A149
FCCB	MM82139	A169
FCCC	MM82116	A169	A
FCCD	CSX82113	A149
FCCE	CSX82112	A149
FCD1	MM81622	NH90
FCD2	MM82103	A119
FCD6	MM81522	NH90
FCDA	MM81621	NH90
FCDB	MM82093	A169
