1047	EC-EXG	MD87
10C3	EC-FOF	MD88
1119	EC-FTR	B752
1148	EC-GHX	A343
1207	EC-GOV	C560
12C2	EC-GZA	CRJ1
12D3	EC-HDS	B752
134D	EC-HUH	A321
134E	EC-HUI	A321
1390	T.18-1	F900
1391	T.18-2	F900
1395	EC-HEK	CRJ2
1446	EC-HLN	B738
14C4	EC-HPR	CRJ2
150E	EC-IGK	A321
1517	T.21-01	C295
1545	EC-HYI	F2TH
1581	T.21-03	C295
1589	T.21-04	C295
158A	T.21-05	C295
158B	T.21-06	C295
15CE	EC-IEF	A320
15CF	EC-IEG	A320
1610	EC-GJF	C501
1646	EC-IJN	A321
164C	EC-IQR	A346
1658	UP-CJ011	CRJ2
1682	EC-ILQ	A320
1683	EC-ILO	A321
1699	EC-INV	AT72
2059	EC-ILP	A321
2086	EC-ISY	B752
2087	EC-IRV	C208
208A	EC-ISX	AT43
208D	EC-ISQ	C56X
2090	EC-ILR	A320
2091	EC-ILS	A320
2093	EC-GTS	C500
20C6	EC-IXE	B738
20CA	EC-IXD	A321
20CB	EC-IZH	A320
20CC	EC-IZR	A320
20CE	EC-JAZ	A319
20CF	EC-JNI	A321
20D5	EC-IVP	AT43
2104	EC-JFH	A320
2105	EC-JFG	A320
2106	EC-JEI	A319
2107	EC-JDM	A321
2108	EC-JDL	A319
2109	EC-IZX	A346
210B	EC-JBA	A346
210D	EC-IYH	AT72
2149	EC-JAD	AT43
2154	EC-JBN	AT43
2155	EC-JBX	AT43
215A	EC-JCD	AT72
2183	EC-JDQ	AS65
2188	EC-JFN	A320
2189	EC-JEJ	A321
218A	EC-JCY	A346
218B	EC-JCZ	A346
218F	EC-GVE	SW4
2199	T.21-09	C295
21C9	EC-JDY	B190
21D6	EC-HAK	E120
21D8	EC-HFK	E120
21D9	EC-HMY	E120
21DA	EC-HTS	E120
2201	EC-IMX	E120
2203	EC-JBE	E120
220D	EC-JES	S76
220E	EC-JET	S76
2210	EC-JGS	A321
2211	EC-JDR	A321
2212	EC-JFX	A346
2213	EC-JFT	C560
2214	EC-GUD	B190
2216	EC-GHZ	BE20
2245	EC-JFU	PA34
2247	EC-HGI	C550
224E	EC-JLI	A321
2250	EC-JLE	A346
2292	EC-JIU	C525
2294	EC-JIL	GLEX
22D7	EC-JKH	E120
22D8	EC-JNH	P68
2304	EC-HRJ	AEST
2306	EC-GBB	BE20
230A	EC-JNQ	A346
2388	EC-JNB	CRJ9
2389	EC-JIP	SW4
2396	EC-JSY	A320
2397	EC-JTQ	A320
2398	EC-JTR	A320
23C3	EC-JQZ	A321
23C4	EC-JRE	A321
23D1	EC-JOB	C172
23D2	EC-JPY	C172
23D9	EC-HLA	A310
23DA	EC-IAT	C182
240E	EC-GZG	B190
2413	EC-JOU	A139
2418	EC-JVE	A319
2443	EC-GPS	SW4
2445	EC-GJM	SW4
2450	EC-GQA	E120
2453	EC-296	C295
2455	2800	C295
2457	2802	C295
2486	EC-KAQ	EC35
2496	EC-JXR	F2TH
24C3	HU.30-01	AS65
24D1	EC-JYX	A320
24D2	EC-JZI	A320
24D4	EC-KDH	A320
24D5	EC-KDG	A320
24D8	EC-IUS	A109
