0000	F-PJKR	CP30
0001	F-GAAB	C150
0002	F-GAAC	C77R
0004	F-GAAE	C77R
0005	F-GAAF	C77R
0009	F-GAAJ	C172
000A	F-GAAK	C172
000E	F-GAAO	C77R
0010	F-GAAQ	C172
0015	F-GAAV	C150
0018	F-GAAY	C150
001B	F-PYIC	CH20
0020	F-GABA	DR40
0021	F-GABB	DR40
0023	F-GABD	DR40
0024	F-GABE	DR40
0026	F-GABG	DR40
0027	F-GABH	DR40
0029	F-GABJ	DR40
002A	F-GABK	DR40
002C	F-GABM	HR20
002D	F-GABN	DR40
0030	F-GABQ	DR40
0031	F-GABR	DR40
0032	F-GABS	DR40
0033	F-GABT	DR40
0040	F-GACA	RALL
0044	F-GACE	RALL
0045	F-GACF	RALL
004A	F-GACK	RALL
004E	F-GACO	RALL
0052	F-GACS	RALL
0058	F-GACY	RALL
0061	F-GADB	RF6
0062	F-GADC	RF6
0064	F-GADE	RF6
0067	F-GADH	RF6
0068	F-GADI	RF6
0069	F-GADJ	RF6
006A	F-GADK	RF6
006B	F-GADL	RF6
006C	F-GADM	RF6
006E	F-GADO	RF6
0070	F-GADQ	RF6
0072	F-GADS	RF6
0073	F-GADT	RF6
0075	F-GADV	RF6
0078	F-GADY	RF6
0083	F-GAED	DR40
0084	F-GAEE	DR40
0085	F-GAEF	DR40
0086	F-GAEG	DR40
0089	F-GAEJ	DR40
008A	F-GAEK	DR40
0092	F-GAES	DR40
0093	F-GAET	DR40
0094	F-GAEU	DR40
0095	F-GAEV	DR40
0099	F-GAEZ	DR40
009B	F-PSLS	MCR1
00A6	F-GAFG	RALL
00A8	F-GAFI	RALL
00AD	F-GAFN	RALL
00B4	F-GAFU	RALL
00B5	F-GAFV	RALL
00B8	F-GAFY	RALL
00B9	F-GAFZ	RALL
00C0	F-GAGA	C77R
00C3	F-GAGD	C77R
00C6	F-GAGG	C77R
00C8	F-GAGI	C150
00CD	F-GAGN	C172
00CE	F-GAGO	C150
00D1	F-GAGR	C172
00D2	F-GAGS	C172
00D3	F-GAGT	C172
00D8	F-GAGY	C172
00D9	F-GAGZ	C150
00DB	F-PHQK	D11
00E0	F-GAHA	DR40
00E1	F-GAHB	DR40
00E2	F-GAHC	DR40
00E4	F-GAHE	DR40
00E6	F-GAHG	DR40
00E7	F-GAHH	DR40
00E9	F-GAHJ	DR40
00EA	F-GAHK	DR40
00EC	F-GAHM	DR40
00ED	F-GAHN	DR40
00EF	F-GAHP	DR40
00F1	F-GAHR	DR40
00F2	F-GAHS	DR40
00F4	F-GAHU	HR20
00F5	F-GAHV	DR40
00F7	F-GAHX	DR40
00F8	F-GAHY	DR40
00F9	F-GAHZ	HR20
00FB	F-WKDL	TBM7
0101	F-GAIB	WA50
0102	F-GAIC	WA80
0103	F-GAID	CE43
0104	F-GAIE	WA50
010A	F-GAIK	WA80
010B	F-GAIL	WA80
0110	F-GAIQ	WA80
0113	F-GAIT	WA80
0114	F-GAIU	WA80
0115	F-GAIV	WA80
011B	F-PKJB	RV9
0125	F-GAJF	P28R
012A	F-GAJK	H269
012C	F-GAJM	H269
0133	F-GAJT	AA1
0134	F-GAJU	AA1
013B	F-PGRN	RV14
0141	F-GAKB	RALL
014A	F-GAKK	RALL
014C	F-GAKM	RALL
0160	F-GALA	P28A
0162	F-GALC	P28A
0167	F-GALH	P28R
016F	F-GALP	BE20
0170	F-GALQ	B47G
0171	F-GALR	B47G
0173	F-GALT	B47G
0179	F-GALZ	BE9L
0183	F-GAMD	B47G
0197	F-GAMX	C182
019B	F-AZEZ	T6
019C	F-JZKN	PISI
01A0	F-GANA	RF6
01A2	F-GANC	RF6
01A3	F-GAND	RF6
01A6	F-GANG	RF6
01A7	F-GANH	RF6
01AA	F-GANK	RF6
01AB	F-GANL	RF6
01AD	F-GANN	RF6
01B7	F-GANX	B47G
01B8	F-GANY	B47G
01B9	F-GANZ	C72R
01C1	F-GAOB	DR40
01C3	F-GAOD	DR40
01C9	F-GAOJ	HR20
01CA	F-GAOK	DR40
01CD	F-GAON	DR40
01CF	F-GAOP	DR40
01D0	F-GAOQ	DR40
01D4	F-GAOU	DR40
01D5	F-GAOV	DR40
01D7	F-GAOX	DR40
01D8	F-GAOY	DR40
01E5	F-GAPF	P28R
01E8	F-GAPI	PTS2
01FB	F-PNMI	D11
0201	F-GAQB	C150
0202	F-GAQC	C150
0206	F-GAQG	C172
020E	F-GAQO	C172
020F	F-GAQP	C172
0210	F-GAQQ	C172
0211	F-GAQR	C182
0213	F-GAQT	C172
0215	F-GAQV	C150
0218	F-GAQY	C77R
0219	F-GAQZ	C172
021B	F-PGRI	RV7
0221	F-GARB	RALL
0223	F-GARD	RALL
0227	F-GARH	RALL
0229	F-GARJ	RALL
022E	F-GARO	RALL
0235	F-GARV	RALL
023B	F-CGTO	GLID
0241	F-GASB	C172
0244	F-GASE	C172
0245	F-GASF	C172
024A	F-GASK	C150
024E	F-GASO	C172
0255	F-GASV	C152
0257	F-GASX	C172
0263	F-GATD	P28A
0264	F-GATE	P28S
0273	F-GATT	AA5
0274	F-GATU	AA5
027B	F-CEYF	SF28
0287	F-GAUH	CP10
028C	F-GAUM	CP21
0291	F-GAUR	CP10
0293	F-GAUT	CP10
0297	F-GAUX	CP10
0298	F-GAUY	CP10
029B	F-PYTP	CP75
02A0	F-GAVA	DR40
02A2	F-GAVC	DR40
02A5	F-GAVF	C182
02A8	F-GAVI	DR40
02AA	F-GAVK	DR40
02AB	F-GAVL	DR40
02AC	F-GAVM	DR40
02AD	F-GAVN	DR40
02B0	F-GAVQ	DR40
02B1	F-GAVR	DR40
02B4	F-GAVU	DR40
02B5	F-GAVV	DR40
02B7	F-GAVX	DR40
02B9	F-GAVZ	DR40
02BB	F-PVBT	DR10
02E0	F-GAXA	R200
02E1	F-GAXB	R200
02E3	F-GAXD	R200
02E4	F-GAXE	R200
02E7	F-GAXH	R200
02E8	F-GAXI	R200
02E9	F-GAXJ	R200
02EC	F-GAXM	R200
02ED	F-GAXN	R200
02EE	F-GAXO	R200
02EF	F-GAXP	R200
02F0	F-GAXQ	R200
02F9	F-GAXZ	C172
0307	F-GAYH	RALL
030B	F-GAYL	RALL
030E	F-GAYO	RALL
0313	F-GAYT	RALL
0314	F-GAYU	RALL
0318	F-GAYY	RALL
0319	F-GAYZ	RALL
031B	F-PRVG	RV7
031C	F-JGSI	BR23
033C	22JU	FDCT
035B	F-CHUG	GLID
037B	F-WTBY	F100
037C	F-JZYM	FK9
03DB	F-CBEU	GLIM
0407	F-GBAH	DR40
0408	F-GBAI	DR40
040A	F-GBAK	DR40
040C	F-GBAM	R100
0411	F-GBAR	DR40
0417	F-GBAX	DR40
0418	F-GBAY	DR40
0441	F-GBCB	RALL
0447	F-GBCH	RALL
0448	F-GBCI	RALL
044D	F-GBCN	RALL
044F	F-GBCP	RALL
0451	F-GBCR	RALL
0454	F-GBCU	RALL
0457	F-GBCX	RALL
0458	F-GBCY	RALL
0459	F-GBCZ	RALL
0471	F-GBDR	BE33
0477	F-GBDX	AA5
0483	F-GBED	SS2P
0487	F-GBEH	AA5
048C	F-GBEM	C172
048D	F-GBEN	BROU
0490	F-GBEQ	P28A
0494	F-GBEU	B47G
0499	F-GBEZ	RALL
04A0	F-GBFA	C152
04A6	F-GBFG	C172
04AF	F-GBFP	C172
04B0	F-GBFQ	C152
04B3	F-GBFT	C172
04B4	F-GBFU	C172
04B5	F-GBFV	C172
04C5	F-GBGF	C210
04E0	F-GBHA	TOBA
04E4	F-GBHE	TAMP
04EA	F-GBHK	TOBA
04EB	F-GBHL	TOBA
04EC	F-GBHM	TOBA
04ED	F-GBHN	TOBA
04F2	F-GBHS	TOBA
04F3	F-GBHT	TOBA
04F4	F-GBHU	TOBA
04F9	F-GBHZ	TOBA
04FC	F-JDHT	D11
0502	F-GBIC	DR40
0503	F-GBID	DR40
0504	F-GBIE	DR40
0507	F-GBIH	DR40
050D	F-GBIN	DR40
050E	F-GBIO	DR40
050F	F-GBIP	R100
0510	F-GBIQ	R200
0511	F-GBIR	DR40
0513	F-GBIT	DR40
0514	F-GBIU	DR40
0515	F-GBIV	DR40
0517	F-GBIX	DR40
0518	F-GBIY	DR40
051B	F-PLLE	RV9
0520	F-GBJA	C152
0521	F-GBJB	C152
0525	F-GBJF	C152
0526	F-GBJG	C150
0527	F-GBJH	C182
0529	F-GBJJ	C152
052E	F-GBJO	C172
0530	F-GBJQ	C172
0531	F-GBJR	C152
0532	F-GBJS	C152
