0005	D-KJMD	GLID
0009	D-8050	GLID
000E	D-8055	GLID
001A	D-8067	GLIM
002F	D-8088	GLID
0034	D-8093	GLID
003A	D-8099	GLID
0045	D-8110	GLID
004A	D-8115	GLID
004F	D-8120	GLIM
0082	D-8171	GLID
0087	D-8176	GLID
008E	D-8183	GLID
0098	D-8193	GLID
0099	D-8194	GLID
00A6	D-8207	GLID
00AB	D-8212	GLID
00B3	D-8220	GLID
00B7	D-8224	GLID
00BD	D-8230	GLID
00D6	D-8255	GLID
00DA	D-8259	GLIM
00E1	D-8266	GLIM
00F2	D-8283	GLIM
0101	D-8298	GLID
0105	D-8302	GLIM
0108	D-8305	GLID
0109	D-8306	GLID
011C	D-8325	GLID
0129	D-8338	GLID
012F	D-8344	GLID
013F	D-8360	GLID
015B	D-8388	GLID
0177	D-8416	GLID
018A	D-8435	GLID
018C	D-8437	GLID
0190	D-8441	GLID
0192	D-8443	GLID
0193	D-8444	GLID
019D	D-8454	GLID
01B8	D-8481	GLID
01B9	D-8482	GLID
01BC	D-8485	GLID
01BE	D-8487	GLID
01CB	D-8500	GLID
01CD	D-8502	GLID
01D0	D-8505	GLID
01D4	D-8509	GLID
01D9	D-8514	GLID
01DA	D-8515	GLID
01DD	D-8518	GLID
01DF	D-8520	GLID
01E3	D-8524	GLID
0204	D-8557	GLID
0205	D-8558	GLID
021A	D-8579	GLID
0235	D-8606	GLID
0239	D-8610	GLID
027B	D-8676	GLID
027D	D-8678	GLID
029D	D-8710	GLIM
02B4	D-8733	GLID
02D9	D-8770	GLID
0308	D-8817	GLID
0309	D-8818	GLID
030D	D-8822	GLID
030E	D-8823	GLID
031B	D-8836	GLID
0348	D-8881	GLID
0373	D-8924	GLID
0379	D-8930	GLID
037F	D-8936	GLID
038C	D-8949	GLID
03A5	D-8974	GLID
03CA	D-9011	GLID
03D0	D-9017	GLID
03D1	D-9018	GLID
03DC	D-9029	GLID
03FB	D-9060	GLID
0400	D-9065	GLID
0403	D-9068	GLID
0412	D-9083	GLID
0417	D-9088	GLID
0418	D-9089	GLID
042D	D-9110	GLID
0462	D-9163	GLID
0464	D-9165	GLID
046E	D-9175	GLID
0472	D-9179	GLIM
047E	D-9191	GLID
0482	D-9195	GLID
0485	D-9198	GLIM
0487	D-9200	GLID
048E	D-9207	GLID
04C7	D-9264	GLID
04DE	D-9287	GLID
04EA	D-9299	GLID
04F0	D-9305	GLID
04FB	D-9316	GLID
0512	D-9339	GLID
0517	D-9344	GLID
0526	D-9359	GLID
0543	D-9388	GLID
0545	D-9390	GLIM
0558	D-9409	GLID
055A	D-9411	GLID
055B	D-9412	GLID
0577	D-9440	GLID
057C	D-9445	GLID
057E	D-9447	GLID
0592	D-9467	GLID
05B0	D-9497	GLID
05D3	D-9532	GLID
05DD	D-9542	GLID
05DF	D-9544	GLIM
05F1	D-9562	GLID
05F5	D-9566	GLIM
05F9	D-9750	GLID
05FF	D-9576	GLID
060C	D-9589	GLIM
0616	D-9599	GLID
0625	D-9614	GLID
0629	D-9618	GLID
0667	D-9680	GLID
066A	D-9683	GLID
068D	D-9718	GLID
068F	D-9720	GLID
0691	D-9722	GLID
0696	D-9727	GLID
0699	D-9730	GLID
069C	D-9733	GLID
06D3	D-9788	GLID
06DD	D-9798	GLID
06F3	D-9820	GLID
06F8	D-9825	GLID
06FB	D-9828	GLIM
06FD	D-9830	GLID
0700	D-9833	GLIM
0712	D-9851	GLID
0738	D-9889	GLID
074F	D-9912	GLID
075F	D-9928	GLID
076B	D-9940	GLIM
0788	D-9969	GLIM
078B	D-9972	GLID
078E	D-9975	GLID
402A	79+02	NH90
40DF	78+20	NH90
431A	79+24	NH90
4346	76+09	EC45
4368	54+01	A400
43A0	74+41	TIGR
43D4	54+03	A400
43E6	54+47	A400
447A	54+43	A400
4488	82+03	AS32
4520	78+14	NH90
46DB	54+27	A400
47FA	76+03	EC45
49B6	98+01	PC12
49E6	54+23	A400
4B1F	76+14	EC45
4BA9	54+20	A400
4D0C	54+18	A400
4DCA	78+13	NH90
4DDF	54+24	A400
4E27	14+02	GL5T
4E62	54+62	A400
4EFE	54+16	A400
4F0F	54+25	A400
52CD	74+28	TIGR
52DB	74+24	TIGR
532C	79+40	NH90
5342	54+35	A400
5407	15+10	A21N
54B3	54+63	A400
551D	15+02	A319
5572	54+33	A400
55AD	74+19	TIGR
5685	54+30	A400
568C	74+22	TIGR
56E6	54+42	A400
5727	54+14	A400
57E9	74+30	TIGR
58AE	14+01	GL5T
59F3	15+11	A21N
5AAC	74+21	TIGR
5BFF	54+61	A400
5C84	31+04	EUFI
5D91	10+02	A359
6001	60+01	P3
6003	60+03	P3
6005	60+05	P3
6007	60+07	P3
619C	74+20	TIGR
61AA	54+36	A400
6219	54+31	A400
62FC	54+44	A400
64F6	54+21	A400
6521	79+07	NH90
6533	14+03	GL5T
6631	74+26	TIGR
6682	54+11	A400
66B0	54+32	A400
6931	54+17	A400
6C26	54+37	A400
6CC9	76+15	EC45
6E57	79+04	NH90
6E70	78+12	NH90
6EE1	82+02	AS32
6F02	54+12	A400
7001	54+06	A400
717C	54+49	A400
722E	74+23	TIGR
727C	54+08	A400
751B	79+22	NH90
7588	54+09	A400
765A	74+49	TIGR
77AA	78+22	NH90
793F	79+28	NH90
79F9	54+07	A400
7B3C	14+04	GL5T
7DC1	15+01	A319
7DEC	74+38	TIGR
7E3D	54+50	A400
7EFD	63+03	P8
8006	78+23	NH90
8019	54+28	A400
8032	79+14	NH90
8086	78+24	NH90
80B1	74+48	TIGR
814B	78+40	NH90
81A5	74+63	TIGR
81E3	74+51	TIGR
81FA	79+38	NH90
8249	74+35	TIGR
841B	78+09	NH90
843E	77+01	EC45
84E8	74+37	TIGR
8517	10+23	A310
853B	76+10	EC45
8569	79+59	NH90
8580	79+60	NH90
85CA	79+09	NH90
85D2	74+46	TIGR
8686	74+61	TIGR
86AD	79+54	NH90
86DC	79+61	NH90
8743	79+62	NH90
8803	79+13	NH90
881C	74+60	TIGR
8844	78+11	NH90
8848	79+29	NH90
8856	74+45	TIGR
88CC	79+63	NH90
8905	77+02	EC45
892A	77+04	EC45
8935	79+30	NH90
8975	79+27	NH90
