0066	VP-CAA	MD87
0079	VP-CLR	B737
007F	VP-CVK	GLF5
00D9	VP-BZL	B737
00EE	VP-BBW	B737
00F2	VP-BEJ	CL60
0111	VP-BCL	CRJ7
0143	VP-BWR	B737
0155	VP-BWG	A319
0159	VP-BWH	A320
015D	VP-BWI	A320
015E	VP-BWJ	A319
0165	VP-BDS	C525
0166	VP-BWL	A319
016C	VP-BEL	B737
018B	VP-BRT	B737
01A7	VP-BJM	CL60
01C8	VP-CGO	GLEX
01DB	VP-CLB	F900
0207	VP-CTU	A321
0209	VP-CLU	EC45
020A	VP-CAJ	B738
020D	VP-CFN	A21N
020E	VP-CFQ	A21N
0211	VP-CFS	A321
0215	VP-CMS	GLF5
0216	VP-CIE	A320
0218	VP-CKK	A332
0219	VP-CXO	GLF6
021A	VP-CBA	B734
021B	VP-CDJ	F2TH
021D	VP-CID	A320
021E	VP-CQQ	A20N
021F	VP-CRY	A20N
0220	VP-CSM	A20N
0221	VP-CUE	A20N
0224	VP-CVY	A20N
0225	VP-CWE	A21N
0226	VP-CWF	A20N
0227	VP-CWH	A20N
0228	VP-CUJ	A339
0229	VP-CUM	A339
022C	VP-CAN	A320
022E	VP-CBK	A320
0232	VP-CAU	A320
0234	VP-CHN	A20N
0236	VP-CIQ	A20N
0237	VP-CAR	A20N
0239	VP-CJE	A320
023B	VP-CCI	A320
023C	VP-CCL	A320
023D	VP-CCN	A320
023E	VP-CCO	A320
023F	VP-CCR	A320
0240	VP-CCP	A320
0242	VP-CCS	A320
0249	VP-CEZ	A320
024D	VP-CEQ	A20N
024E	VP-CET	A20N
024F	VP-CEY	A20N
0250	VP-CDW	A20N
0254	VP-CLN	A332
0255	VP-CLO	A332
0258	VP-CDS	A320
0259	VP-CEH	A320
025A	VP-CLI	A332
025C	VP-CNA	C550
025D	VP-CGG	A20N
025F	VP-CIC	FA6X
0264	VP-CNG	B738
0265	VP-CKD	A333
0266	VP-COA	A20N
0267	VP-COB	A20N
0268	VP-COD	A20N
0269	VP-COE	A20N
026A	VP-COI	A20N
026B	VP-COJ	A20N
026F	VP-CRF	C25C
0275	VP-CWS	GLF4
0276	VP-CFL	E190
0277	VP-CFT	E190
0278	VP-CHH	E190
0279	VP-CMG	B738
027A	VP-CMK	B738
027B	VP-CSZ	B738
027D	VP-COV	B738
0284	VP-CML	B738
0286	VP-CMW	B738
0287	VP-CBX	A321
0289	VP-CWM	A332
028D	VP-CMU	GLF6
028E	VP-CHG	A320
0290	VP-CHL	A321
0292	VP-CBF	A320
0294	VP-CZS	H160
0297	VP-CBZ	E190
0298	VP-CTY	GL7T
0299	VP-COR	GA7C
029A	VP-CYX	GA5C
029B	VP-CFR	GA7C
02A0	VP-CHF	EC45
02A4	VP-CDL	GLF6
02A5	VP-CAT	H160
02A7	VP-CAW	DHC6
02A8	VP-CLP	EC45
02AA	VP-CJJ	GLF6
02AC	VP-CWZ	GLF5
02AD	VP-CAY	LJ60
02AF	VP-CBJ	A339
02B0	VP-CCG	GL7T
02B2	VP-CDA	GL7T
02B4	VP-CJM	GL7T
02B5	VP-CHY	FA8X
02B6	VP-CDY	A319
02B7	VP-COY	FA7X
02B8	VP-CSL	GLF6
02B9	VP-CNS	GA7C
02BA	VP-CJV	GLF6
02BB	VP-CXM	GLF5
02BC	VP-CAI	GLF4
02BD	VP-CPM	GLF6
02BF	VP-CBI	GA7C
02C1	VP-CFZ	GLF5
02C2	VP-CYH	E35L
02C3	VP-CNF	GL7T
02C4	VP-CXL	GA7C
02C5	VP-CMV	GLEX
02C6	VP-CPH	B739
02C7	VP-CYG	GA8C
02C9	VP-CFV	G280
02CB	VP-CAH	GL5T
02CD	VP-CKY	GA8C
02CE	VP-CLG	GA6C
02D3	VP-CDI	GLF6
