0299	LZ-DPB	C82T
1C06	LZ-CCQ	L410
1C0A	LZ-HPM	TL20
1C0D	LZ-TRH	LJ60
1C12	LZ-SPY	M20P
1C18	LZ-CCV	L410
1C19	LZ-TSA	TL20
1C1D	LZ-RAT	R44
1C23	LZ-ABP	PA34
1C24	LZ-ASP	P180
1C2B	LZ-ALA	SR22
1C3F	LZ-RAF	C206
1C42	LZ-OOI	F2TH
1C67	LZ-FIB	GALX
1C6E	LZ-ITV	BE20
1C7E	LZ-CCS	L410
1CBE	LZ-COT	NG5
1CC1	LZ-PLO	E190
1D85	LZ-SOF	E190
1D86	LZ-VAR	E190
1D87	LZ-BHG	A320
1D89	LZ-GAA	CA7T
1D8C	LZ-BUR	E190
1D8D	LZ-SPT	C172
1D8E	LZ-SPP	C172
1D99	LZ-CGS	B734
1DA1	LZ-SPA	PA34
1DAA	LZ-SPB	C172
1DAD	LZ-CGT	B734
1DBA	LZ-LAA	A320
1DBD	LZ-CGU	B734
1E1E	LZ-BOO	B733
1E28	LZ-CGP	B733
1E29	LZ-CGQ	B733
1E2A	LZ-CAN	MI8
1E89	LZ-MDB	A320
1E8B	LZ-FBA	A319
1E8C	LZ-FBB	A319
1E8E	LZ-FBD	A320
1E90	LZ-FBE	A320
1E92	LZ-AOB	A319
1E94	LZ-MDD	A320
1F0E	LZ-LDM	MD82
1F0F	LZ-LDP	MD82
1F10	LZ-LDW	MD82
1F14	LZ-LDN	MD82
1F16	LZ-LDS	MD82
1F17	LZ-LDU	MD82
1F19	LZ-LDJ	MD82
1F83	LZ-HBC	B462
1F89	LZ-TIM	RJ70
2008	LZ-SPE	P28R
200D	LZ-SPC	C172
200E	LZ-SPV	C172
2010	LZ-APR	C172
2013	LZ-DEO	MD82
2017	LZ-ADV	MD82
201C	LZ-MDO	A320
2022	LZ-NTH	P208
2023	LZ-PDM	PRM1
2026	LZ-ASO	P180
202A	LZ-LAB	A320
202B	LZ-CGV	B734
202C	LZ-LAD	A320
202E	LZ-LAC	A320
2033	LZ-LAG	A320
2037	LZ-LAE	A320
2039	LZ-DRI	TL20
203C	LZ-BVL	B733
203F	LZ-VLZ	G150
2041	LZ-VEL	PA46
2043	LZ-AWI	A320
2048	LZ-ELI	C172
2051	LZ-CGX	B734
2056	LZ-VBE	GL5T
2057	LZ-MDK	A320
205B	LZ-BON	B733
205D	LZ-TYR	B734
205E	LZ-MVK	B733
2060	LZ-DBK	P208
2067	LZ-LVK	B733
2069	LZ-ASR	P180
206C	LZ-BVT	B733
207B	LZ-KPR	C206
207D	LZ-PYH	TWEN
2082	LZ-EAB	A320
2084	LZ-CGW	B734
2085	LZ-SDB	C182
2086	LZ-BHL	A320
2087	LZ-BHM	A320
2089	LZ-TER	B735
208E	LZ-HEA	A321
2096	LZ-HKA	BE9L
209C	LZ-MDI	A320
209E	LZ-DAC	A321
20A1	LZ-ONE	A332
20A7	LZ-SSC	C177
20A8	LZ-PRS	B734
20AA	LZ-FBG	A320
20AB	LZ-HKB	BE9L
20B1	LZ-VJT	C55B
20BE	LZ-HKC	BE9L
20C4	LZ-CGY	B734
20C6	LZ-DEN	P28T
20CB	LZ-DAZ	B738
20CE	LZ-FBK	A320
20CF	LZ-FBH	A320
20D0	LZ-FBI	A320
20D2	LZ-CGA	B738
20D3	LZ-EGT	E55P
20D4	LZ-JET	E55P
20DC	LZ-GNK	B738
20E0	LZ-CVA	C56X
20E2	LZ-DBP	B738
20E3	LZ-DBM	AT76
20E9	LZ-BRU	RJ70
20EA	LZ-CXA	B738
20EB	LZ-DBT	A320
20EC	LZ-MAA	A319
20ED	LZ-MAD	A319
20EE	LZ-MAK	A319
20F0	LZ-DBW	P06T
20F3	LZ-AFA	Z42
20F4	LZ-AFU	Z42
20F7	LZ-MRX	B738
20F9	LZ-CGB	B738
20FB	LZ-GPA	B734
20FC	LZ-SOT	VL3
20FD	LZ-GNC	B738
2101	LZ-CXB	B738
2102	LZ-DCD	A320
2108	LZ-CPA	B733
210C	LZ-EAC	A320
210D	LZ-EAD	A320
2111	LZ-313	TL30
2112	LZ-CXC	B738
2113	LZ-LAH	A320
2117	LZ-DCJ	AT76
2119	LZ-EAE	A320
211A	LZ-CGC	B738
211B	LZ-LAI	A320
211E	LZ-LAJ	A320
2121	LZ-PAR	BCS3
2122	LZ-LON	BCS3
2123	LZ-JNA	M20T
2124	LZ-ROM	BCS3
2126	LZ-LAK	A320
212C	LZ-BBD	A320
212D	LZ-CXD	B738
212E	LZ-GPD	C68A
212F	LZ-KPD	C68A
2130	LZ-CGD	B738
2131	LZ-CNR	VL3
2134	LZ-FSA	A320
2135	LZ-FSB	A320
2138	LZ-EAG	A321
213B	LZ-DCL	B738
213D	LZ-EAH	A320
213E	LZ-EAF	A320
2141	LZ-DCP	A20N
2142	LZ-AMS	BCS3
2143	LZ-FSC	A321
2144	LZ-EAI	A320
2148	LZ-CVB	C56X
2149	LZ-CJA	B744
214A	LZ-LUX	PRM1
214B	LZ-CGE	B738
214D	LZ-HMA	A109
214E	LZ-HMB	A109
214F	LZ-HMC	A109
2153	LZ-FSD	A320
215F	LZ-AFB	G2CA
2160	LZ-AFC	G2CA
2163	LZ-LIS	BCS1
2164	LZ-VIE	BCS1
2165	LZ-FSG	A320
2166	LZ-FSF	A320
2167	LZ-GPB	B734
2169	LZ-EAJ	A320
216A	LZ-FSI	A321
216D	LZ-OSL	BCS1
216E	LZ-CRI	B734
2172	LZ-EAK	A320
2173	LZ-EUR	PRM1
2175	LZ-PPL	C25A
2176	LZ-FON	PRM1
2179	LZ-FSJ	A320
217D	LZ-VPI	CL60
217E	LZ-TWO	A332
217F	LZ-OCW	A332
2180	LZ-CJB	B744
2181	LZ-CJC	B744
2186	LZ-EAL	A320
218E	LZ-FRA	BCS3
2193	LZ-GAT	A320
2198	LZ-EAN	A320	A
219A	LZ-EAN	A320	A
219C	LZ-SWF	AT72
219E	LZ-DDH	A321
21A8	LZ-LAM	A320
21AC	LZ-FSS	A320
21BA	LZ-EAO	A320
21BB	LZ-EAP	A320
21BC	LZ-FTJ	E55P
21BD	LZ-JFT	E55P
21C3	LZ-JQF	AT73
21C4	LZ-LAL	A320
31E3	YU-MPD	C56X
64CF	PH-ASN	DA50
7C01	020	PC12	A
7C03	664	PC9
7C05	666	PC9
7C08	701	AS32	A
7C09	702	AS32	A
7C0C	071	C27J	A
7C0D	072	C27J	A
7C0E	073	C27J
7C0F	704	AS32
7C15	708	AS32
7C16	709	AS32
7C17	710	AS32
7C18	711	AS32
7C20	068	L410
7C21	069	L410
7C23	602	Z42
7C30	207	L39
7C31	213	L39
7C32	139	L39	A
7C33	211	L39	A
844A	OY-ABJ	PA22
8477	OY-ACW	PA22
84D4	OY-AFT	PA22
84E2	OY-AGB	C172
84E6	OY-AGF	C172
8509	OY-AHI	SR20
8519	OY-AHY	C172
852B	OY-AIK	PA23
854D	OY-AJM	C172
8568	OY-AKH	C172
856D	OY-AKM	PA16
8579	OY-AKY	C172
8581	OY-ALA	CH7A
8583	OY-ALC	PA12
858A	OY-ALJ	PA18
858C	OY-ALL	DHC1
85C7	OY-ANG	C172
85C8	OY-ANH	C172
860D	OY-APM	GLF4
864A	OY-ARJ	C414
8661	OY-ASA	B734
8662	OY-ASB	B734
8663	OY-ASC	B734
8664	OY-ASD	B738
8665	OY-ASE	B738
8666	OY-ASF	B738
8667	OY-ASG	B738
866D	OY-ASM	C172
8686	OY-ATF	DHC1
8689	OY-ATI	KZ7
868F	OY-ATO	DHC1
86AE	OY-AUN	P28A
86B7	OY-AUW	RALL
86C6	OY-AVF	DHC1
86C8	OY-AVH	KZ7
86CB	OY-AVK	KZ7
86E8	OY-AWH	PC12
8745	OY-AZE	C172
8748	OY-AZH	C172
874B	OY-AZK	C172
874D	OY-AZM	C172
8822	OY-BAB	P28B
8827	OY-BAG	P28B
8841	OY-BBA	P28A
8843	OY-BBC	P28A
8844	OY-BBD	P28A
8845	OY-BBE	P28A
8846	OY-BBF	E55P
884C	OY-BBL	E55P
884D	OY-BBM	GA7C
884E	OY-BBN	P28A
8852	OY-BBR	P28A
8854	OY-BBT	P28A
8856	OY-BBV	P28A
8857	OY-BBW	P28A
8861	OY-BCA	P28A
8867	OY-BCG	P28A
8883	OY-BDC	P28R
8887	OY-BDG	P28A
8890	OY-BDP	PA27
88CB	OY-BFK	C172
88D6	OY-BFV	C172
88D9	OY-BFY	C172
88E2	OY-BGB	P28A
88E3	OY-BGC	P28A
88F3	OY-BGS	P28A
88FA	OY-BGZ	P28A
8909	OY-BHI	C172
8935	OY-BIU	C172
8939	OY-BIY	C182
894D	OY-BJM	C150
8964	OY-BKD	P28A
8967	OY-BKG	P28R
896B	OY-BKK	P28A
896D	OY-BKM	P28A
898E	OY-BLN	P28A
898F	OY-BLO	P28A
8990	OY-BLP	P28A
8995	OY-BLU	P28A
8999	OY-BLY	P28A
899A	OY-BLZ	P28A
89A9	OY-BMI	D31
89C6	OY-BNF	C172
89C8	OY-BNH	C172
89D7	OY-BNW	P28B
8A45	OY-BRE	P28A
8A50	OY-BRP	PA38
8A54	OY-BRT	P28A
8A59	OY-BRY	P28A
8A65	OY-BSE	P68
8A66	OY-BSF	PA34
8A69	OY-BSI	PA34
8A6D	OY-BSM	LGEZ
8A6F	OY-BSO	C340
8A73	OY-BSS	PA11
8A76	OY-BSV	C172
8A7A	OY-BSZ	P28R
8A84	OY-BTD	P28A
8A86	OY-BTF	P28A
8A89	OY-BTI	P28A
8A8A	OY-BTJ	P28A
8A8D	OY-BTM	P28R
8A8F	OY-BTO	P28A
8A95	OY-BTU	P28A
8A99	OY-BTY	P32T
8AA1	OY-BUA	C172
8AA4	OY-BUD	C210
8AA6	OY-BUF	C172
8AAA	OY-BUJ	C182
8AAD	OY-BUM	C172
8AB2	OY-BUR	C172
8AB5	OY-BVV	BE33
8AB9	OY-BUY	C206
8ACE	OY-BVN	BE33
8AD0	OY-BVP	JUNR
8B23	OY-BYC	P28S
8B37	OY-BYW	C140
8B39	OY-BYY	P06T
8B3A	OY-BYZ	C337
8B45	OY-BZE	C172
8B54	OY-BZT	C550
8B5A	OY-BZZ	C172
8C26	OY-CAF	P68
8C28	OY-CAH	TOBA
8C2D	OY-CAM	TAMP
8C32	OY-CAR	TOBA
8C34	OY-CAT	BN2P
8C41	OY-CBA	M20P
8C4B	OY-CBK	PC12
8C53	OY-CBS	P28A
8C55	OY-CBU	DHC7
8C58	OY-CBX	GLIM
8C68	OY-CCH	CL60
8C83	OY-CDC	P68
8C8A	OY-CDJ	TAMP
8C8C	OY-CDL	TAMP
8C8E	OY-CDN	TB21
8C90	OY-CDP	TAMP
8C92	OY-CDR	TOBA
8C94	OY-CDT	TB20
8C95	OY-CDU	TAMP
8CA5	OY-CEE	P28A
8CD9	OY-CFY	C172
8CF6	OY-CGV	P28A
8D0C	OY-CHL	CL35
8D0D	OY-CHM	C172
8D10	OY-CHP	DA40
8D32	OY-CIR	AT43
8D35	OY-CIU	AT43
8D42	OY-CJB	P28R
8D50	OY-CJP	P28R
8D59	OY-CJY	DH8C
8D67	OY-CKG	P32R
8D6B	OY-CKK	F2TH
8D70	OY-CKP	BE20
8D73	OY-CKS	BN2P
8D81	OY-CLA	P28A
8D8C	OY-CLL	PA12
8D90	OY-CLP	C650
8D99	OY-CLY	AT75
8D9A	OY-CLZ	AT75
8E02	OY-CPB	C172
8E1A	OY-CPZ	C172
8E41	OY-CRA	M7
8E4A	OY-CRJ	CRJ2
8E56	OY-CRV	AT75
8E62	OY-CSB	C172
8E63	OY-CSC	P28T
8E7A	OY-CSZ	C182
8E96	OY-CTV	C172
8E98	OY-CTX	DIMO
8E9A	OY-CTZ	C172
8EA1	OY-CUA	LNC2
8EA3	OY-CUC	PTS2
8ED7	OY-CVW	B350
8F05	OY-CXE	GLIM
8F0C	OY-CXL	GLID
8F13	OY-CXS	GLIM
8F14	OY-CXT	GLIM
8F26	OY-CYF	P28A
8F2C	OY-CYL	C172
8F30	OY-CYP	PA25
8F5A	OY-CZZ	DA62
9021	OY-DAA	KZ3
904B	OY-DBK	C150
904D	OY-DBM	CH7A
9062	OY-DCB	PA22
9086	OY-DDF	GY80
908C	OY-DDL	M20P
90AA	OY-DEJ	KZ3
90B7	OY-DEW	C172
90C4	OY-DFD	M20P
9103	OY-DHC	J3
915A	OY-DJZ	BE35
916F	OY-DKO	KZ3
9199	OY-DLY	PA31
91AA	OY-DMJ	KZ7
91AD	OY-DMM	PA22
91CB	OY-DNK	BE35
9247	OY-DRG	JUNR
9257	OY-DRW	FA7X
9262	OY-DSB	KZ7
926E	OY-DSN	P28A
9273	OY-DSS	P28A
9290	OY-DTP	J1
9299	OY-DTY	KZ7
92B3	OY-DUS	PA22
9465	OY-ECE	C172
9466	OY-ECF	P28B
9476	OY-ECV	J3
9487	OY-EDG	C182
948C	OY-EDL	P28A
94A6	OY-EEF	BE20
94BA	OY-EEZ	LGEZ
94C2	OY-EFB	C140
9544	OY-EJD	FA7X
954D	OY-EJM	SIRA
9563	OY-EKC	FA7X
9575	OY-EKU	C172
958F	OY-ELO	C172
95AA	OY-EMJ	SIRA
95D6	OY-ENV	C172
9653	OY-ERS	HDJT
9659	OY-ERY	C550
9674	OY-EST	AC11
96B2	OY-EUR	PC12
96C1	OY-EVA	EVSS
96C5	OY-EVE	EVSS
9701	OY-EXA	GLIM
9702	OY-EXB	GLIM
9705	OY-EXE	GLID
970E	OY-EXN	DIMO
9744	OY-EZD	F2TH
9864	OY-FCD	C172
988B	OY-FDK	C208
988D	OY-FDM	P28A
98C6	OY-FFF	SIRA
98C7	OY-FFG	SIRA
98C8	OY-FFH	SIRA
98C9	OY-FFI	FA7X
98CB	OY-FFK	SIRA
98D3	OY-FFS	P06T
98D4	OY-FFT	P06T
9901	OY-FHA	BN2P
9902	OY-FHB	BN2P
9903	OY-FHC	DHC6
9904	OY-FHD	DHC6
9999	OY-FLY	C172
9A43	OY-FRC	P28A
9A4B	OY-FRK	JUNR
9A62	OY-FSB	SB20
9A63	OY-FSC	SB20
9A64	OY-FSD	SB20
9A65	OY-FSE	SB20
9A67	OY-FSG	F2TH
9AAE	OY-FUN	I3
9AB2	OY-FUR	C172
9AC1	OY-FVA	PC12
9B05	OY-FXE	GLIM
9B19	OY-FXY	GLID
9C21	OY-GAA	AA5
9C34	OY-GAT	GA7
9C43	OY-GBC	P06T
9C44	OY-GBD	SIRA
9C45	OY-GBE	SIRA
9C46	OY-GBF	P06T
9C47	OY-GBG	SIRA
9C49	OY-GBI	SIRA
9C58	OY-GBX	GLID
9C63	OY-GCC	BN2P
9C6D	OY-GCM	P68
9C81	OY-GDA	E195
9C82	OY-GDB	E195
9C83	OY-GDC	E195
9C93	OY-GDS	EUPA
9CA3	OY-GEC	GALX
