0024	OH-ABK	JUNR
0041	OH-ACN	AC90
004B	OH-ACX	C25C
0107	OH-AKD	LA4
012D	OH-ALP	DA42
01CB	OH-ARR	C206
01E0	OH-ASM	DA40
01F2	OH-ATE	AT75
01F3	OH-ATF	AT75
01F4	OH-ATG	AT75
01F5	OH-ATH	AT75
01F6	OH-ATI	AT75
01F7	OH-ATJ	AT75
01F8	OH-ATK	AT75
01F9	OH-ATL	AT75
01FA	OH-ATM	AT75
01FB	OH-ATN	AT75
01FC	OH-ATO	AT75
01FD	OH-ATP	AT75
01FF	OH-ATR	AT76
0275	OH-AYF	AA1
0283	OH-AYT	AA5
0288	OH-AYY	AA5
02B1	OH-BAN	P28A
02C6	OH-BBI	BE55
02CA	OH-BBM	BE36
02EF	OH-BCX	BE9L
02F2	OH-BDA	BE33
0309	OH-BDX	BE60
0323	OH-BEX	BE9L
03E3	OH-BMH	BE23
045E	OH-BRA	SR22
0483	OH-BSL	PC12
0552	OH-CAK	C172
0554	OH-CAM	C172
0555	OH-CAN	C172
055A	OH-CAS	C152
0560	OH-CAY	C172
0561	OH-CAZ	C172
056A	OH-CBI	C150
0583	OH-CCH	C206
05A0	OH-CDK	C185
05D3	OH-CFJ	C172
05E6	OH-CGC	C150
05E7	OH-CGD	C150
05EB	OH-CGH	C172
05FB	OH-CGX	C172
0602	OH-CHE	C175
0603	OH-CHF	C550
0620	OH-CII	C206
0625	OH-CIN	C152
062A	OH-CIS	C152
063E	OH-CJM	C152
064E	OH-CKC	C152
0650	OH-CKE	C152
0651	OH-CKF	C152
0656	OH-CKK	C172
065A	OH-CKO	C152
066A	OH-CLE	C152
066B	OH-CLF	C152
0674	OH-CLO	C172
0684	OH-CME	C172
0688	OH-CMI	C172
068E	OH-CMO	C172
0694	OH-CMU	C152
06B4	OH-COA	C152
06BA	OH-COG	C152
06C7	OH-COT	C172
06C9	OH-COV	C172
06D4	OH-CPG	J3
070E	OH-CRM	C172
072A	OH-CSO	C170
0733	OH-CSX	C140
0734	OH-CSY	C140
0745	OH-CTP	C172
074A	OH-CTU	C172
0751	OH-CUB	J3
076A	OH-CVA	C150
076B	OH-CVB	C172
0783	OH-CVZ	C172
078B	OH-CWH	C175
0790	OH-CWM	C152
0792	OH-CWO	C152
07ED	OH-DAB	DA42
07EE	OH-DAC	DA42
07EF	OH-DAD	DA42
07F8	OH-DAM	DA42
07F9	OH-DAN	DA42
080A	OH-DBE	C150
0812	OH-DBM	PC12
0818	OH-DBS	C150
081D	OH-DBX	DA62
083A	OH-DDA	DA40
0844	OH-DDK	PC12
0861	OH-DEN	PC12
08CD	OH-DIR	C182
0912	OH-DLI	WT9
0927	OH-DMD	DA40
0933	OH-DMP	DA42
097D	OH-DPL	PC12
09DA	OH-DTA	DA40
09DB	OH-DTB	DA40
09DC	OH-DTC	DA42
09DD	OH-DTD	DA40
09DE	OH-DTE	DA40
09DF	OH-DTF	DA40
09E0	OH-DTG	DA40
09E1	OH-DTH	DA40
09E2	OH-DTI	DA40
09E3	OH-DTJ	DA40
0A7B	OH-DZF	C208
0AA7	OH-EAX	PC12
0BCC	OH-EME	Z26
0C16	OH-EPA	E50P
0C17	OH-EPB	E50P
0C75	OH-ESR	SR20
0C76	OH-ESS	E300
0CB6	OH-EVE	PC12
0D4C	OH-FAY	PC12
0D8A	OH-FDI	PC12
0E65	OH-FLT	DA62
0E85	OH-FMZ	C182
0F46	OH-FUK	PC12
104C	OH-GEM	PC12
1108	OH-GLF	PC12
