011C	YU-A051	FDCT
0155	71505	YK40
016D	YU-ALN	AT72
016E	YU-ALO	AT72
016F	YU-ALP	AT72
0173	YU-ALT	AT75
0174	YU-ALU	AT75
0176	YU-ALW	AT76
0177	YU-ALX	AT76
0178	YU-ALY	AT76
0179	YU-ALZ	AT76
01A3	YU-AND	B733
01A8	YU-ANI	B733
01AA	YU-ANK	B733
01DD	YU-A088	PNR3
01E0	YU-APA	A319
01E1	YU-APB	A319
01E2	YU-APC	A319
01E3	YU-APD	A319
01E4	YU-APE	A319
01E5	YU-APF	A319
01E7	YU-APH	A320
01E8	YU-API	A319
01E9	YU-APJ	A319
01EA	YU-APK	A319
01EB	YU-APL	A319
01EC	YU-APM	A319
01ED	YU-APN	A319
01EE	YU-APO	A320
01F1	YU-APR	B737
01F2	YU-APS	A320
01F3	YU-APT	A320
01F4	YU-APU	A320
01F5	YU-APV	A320
0220	YU-ARA	A332
0221	YU-ARB	A332
0222	YU-ARC	A332
0223	YU-ARD	A332
0224	YU-ARE	A332
023B	YU-A104	S450
0240	YU-ASA	AT76
0241	YU-ASB	AT76
0242	YU-ASC	AT76
0243	YU-ASD	AT76
0244	YU-ASE	AT76
0245	YU-ASF	AT76
0260	YU-ATA	E195
0261	YU-ATB	E195
0262	YU-ATC	E195
0263	YU-ATD	E195
02FA	YU-A139	S450
0552	YU-BKS	C185
056A	YU-BLK	C310
05A0	YU-BNA	FA50
05AA	YU-BNK	M18
05E4	YU-BPE	AN2
0628	YU-BRI	C172
0639	YU-BRZ	LJ31
0641	YU-BSB	C172
0642	YU-BSC	PA44
0649	YU-BSJ	PA34
0652	YU-BSS	C172
0661	YU-BTB	C55B
0662	YU-BTC	B350
066D	YU-BTN	C25B
066F	YU-BTP	M20P
0673	YU-BTT	C551
0695	YU-BUV	C25C
06D6	YU-BWW	PA44
06F6	YU-BXW	C414
0716	YU-BYW	PA31
0735	YU-BZV	T206
0739	YU-BZZ	C55B
084A	YU-CCK	C172
0866	YU-CDG	Z26
0C68	YU-DDI	PA38
0C6D	YU-DDN	PA38
0C8C	YU-DEM	C182
0DA1	YU-DNB	PA38
0DA8	YU-DNI	C172
0DB5	YU-DNV	PA38
0DD8	YU-DOY	C172
0DEC	YU-DPM	C172
0DF2	YU-DPS	C172
0DF3	YU-DPT	C172
0DF4	YU-DPU	C172
0DF9	YU-DPZ	C172
0E23	YU-DRD	C172
0E38	YU-DRY	C525
0E4C	YU-DSM	C172
0E4D	YU-DSN	C172
0E4E	YU-DSO	C172
0E4F	YU-DSP	C172
0E52	YU-DSS	C172
0E53	YU-DST	C172
0E54	YU-DSU	C172
0E66	YU-DTG	TB20
0E73	YU-DTT	P28U
0E94	YU-DUU	C182
0EA0	YU-DVA	C172
0F31	YU-DZR	PA38
0F39	YU-DZZ	P28U
14B2	YU-FFS	FA50
16A9	YU-FVJ	F2TH
18C2	YU-GGC	PA34
190D	YU-GIN	C525
1A98	YU-GUY	C25A
1C1C	14503	EC45
1C3E	14531	EC45
1C5F	14510	EC45
1C86	YU-HEG	S76
1C92	YU-HES	GAZL
1C95	YU-HEV	GAZL
1C98	YU-HEY	GAZL
1CE9	YU-HHJ	AS32
1D08	YU-HII	R44
1DAD	YU-HNN	R66
1DC7	YU-HOH	S76
1DD3	YU-HOT	GAZL
1DF9	YU-HPZ	GAZL
1E23	YU-HRD	A109
1E56	YU-HSW	R66
1E61	YU-HTB	R44
1EB9	YU-HVZ	GAZL
1EC5	YU-HWF	GAZL
2044	YU-ICE	EC45
2240	YU-ISA	C172
2406	YU-JAG	P208
2655	YU-JSV	C56X
2892	YU-KES	PNR4
290D	YU-KIN	L410
2C1A	18151	MG29
2C1B	18201	MG29
2C1D	18203	MG29
2C1E	18351	MG29
2C1F	18352	MG29
2C2A	18108	MG29
2C2E	18101	MG29
2C2F	18102	MG29
2C3A	18204	MG29
2C3B	18205	MG29
2D40	YU-LKA	C56X
2D6B	YU-LLL	PA38
2D8B	YU-LML	PIVI
2DC0	YU-LOA	PIVI
2DCA	YU-LOK	PA34
2E40	YU-LSA	C56X
3004	YU-MAE	L410
3011	YU-MAR	C150
306C	YU-MDM	PA38
3083	YU-MED	EC45
3100	YU-MIA	C150
3146	YU-MKG	C172
31E0	YU-MPA	C56X
31E1	YU-MPB	C56X
31E2	YU-MPC	C25M
3274	YU-MTU	C525
328F	YU-MUP	EC45
340A	YU-NAK	DA42
348C	YU-NEM	C25B
39F2	YU-OPS	AS32
3C00	YU-PAA	E35L
3C21	YU-PBB	C56X
3C42	YU-PCC	C56X
3C63	YU-PDD	C56X
3C84	YU-PEE	E145
3D8A	YU-PMK	C56X
3DAA	YU-PNK	C56X
3F2C	YU-PZM	C56X
4460	YU-RDA	C56X
4641	YU-RSB	FA6X
4808	YU-SAI	C525
4811	YU-SAR	EC45
4849	YU-SCJ	C525
49E1	YU-SPB	C56X
49E6	YU-SPG	P46T
49EA	YU-SPK	PA34
4A21	YU-SRB	E35L
4A71	YU-STR	TWEN
4AAB	YU-SVL	C56X
4AF7	YU-SXX	C55B
4C20	YU-TBA	C56X
4C21	YU-TBB	C551
4C40	YU-TCA	P06T
4C41	YU-TCB	P208
4C43	YU-TCD	P208
4C57	YU-TCX	P06T
4C80	YU-TEA	TWEN
4DE2	YU-TPC	C500
5400	YU-VAA	PA34
546C	YU-VDM	A119
54C8	YU-VGI	PA34
550F	YU-VIP	AS32
55CC	YU-VOM	C82S
5820	YU-A033	KP5
582C	YU-A045	PIAT
5831	YU-A050	PIAT
587A	YU-A123	PISI
5893	YU-WET	C25A
58F8	YU-WHY	C525
5AA3	YU-WVD	C56X
5C00	71386	AN26
5C1A	29501	C295
5C1B	29502	C295
6001	YU-YAB	G2GL
6007	YU-YAH	G2GL
8038	5B-CKC	PUP
8047	5B-CEM	C172
8048	5B-CLE	ECHO
804B	5B-CLH	DA40
804F	5B-CLP	A210
8053	5B-CLS	B429
8054	5B-CLT	DA42
8056	5B-CLU	AS50
805E	5B-CLR	P06T
8061	5B-DCW	A319
8065	5B-JBO	P180
8069	5B-CLW	EC35
8070	5B-DCX	A319
8071	5B-DDH	A139
8074	5B-CLY	CRES
8075	5B-CLZ	P208
