482F	JY-RAO	A21N
77A8	P-632	T204
77A9	P-633	T204
77CF	P-671	A148
77D0	P-672	A148
78A1	P-881	IL62
8001	YI-AQA	CRJ9
8002	YI-AQB	CRJ9
8130	YI-309	C30J
8131	YI-305	C30J
8132	YI-306	C30J
84F2	YI-AGR	A321
8624	YI-AQD	CRJ9
8625	YI-AQE	CRJ9
8626	YI-AQF	CRJ9
862C	YI-AQL	B737
8633	YI-AQS	B734
8639	YI-AQY	A332
863A	YI-AQZ	B77L
8640	YI-ASE	B738
8641	YI-ARA	A320
8642	YI-ARB	A320
8644	YI-ARD	A320
8645	YI-ARE	BCS3
8646	YI-ARF	BCS3
8647	YI-ARG	BCS3
8648	YI-ARH	BCS3
8649	YI-ARI	BCS3
8661	YI-ASA	B744
8662	YI-ASB	H25B
8666	YI-ASF	B738
8667	YI-ASG	B738
8668	YI-ASH	B738
8669	YI-ASI	B738
866A	YI-ASJ	B738
866B	YI-ASK	B738
866C	YI-ASL	B38M
866D	YI-ASM	B38M
866E	YI-ASN	B38M
8671	YI-ASQ	B738
8672	YI-ASR	B738
8673	YI-ASS	B738
8674	YI-AST	B738
8675	YI-ASU	B738
8676	YI-ASV	B738
8677	YI-ASW	B738
8678	YI-ASX	B38M
8679	YI-ASY	B38M
867A	YI-ASZ	B38M
8683	YI-ATC	B788
8684	YI-ATD	B788
8825	YI-BAE	CRJ9
8826	YI-BAF	B738
8827	YI-BAG	CRJ2
8828	YI-BAH	CRJ2
8829	YI-BAI	CRJ2
882A	YI-BAJ	B190
882B	YI-BAK	CRJ2
882E	YI-BAN	B737
882F	YI-BAO	A109
8832	YI-BAR	CRJ2
8833	YI-BAS	B738
8834	YI-BAT	B739
8835	YI-BAU	B733
8836	YI-BAV	B738
8837	YI-BAW	B738
8838	YI-BAX	B738
8839	YI-BAY	B739
883A	YI-BAZ	B739
8841	YI-BBA	A321
8843	YI-BBC	A321
8844	YI-BBD	B734
