00E9	0233	C560
0405	1029	AT75
08B1	AP-BEQ	A310
08E4	AP-BGD	C82R
08EA	AP-BGJ	B772
08EB	AP-BGK	B772
08EC	AP-BGL	B772
08EE	AP-BGN	A310
08F8	AP-BGX	MI8
08F9	AP-BGY	B77L
08FA	AP-BGZ	B77L
0908	AP-BHH	AT45
0909	AP-BHI	AT45
090D	AP-BHM	AT45
0912	AP-BHR	B105
0913	AP-BHS	C402
0916	AP-BHV	B77W
0917	AP-BHW	B77W
0918	AP-BHX	B772
0919	AP-BHY	LJ45
0924	AP-BID	B77W
092C	AP-BIL	MI8
0957	AP-BJW	C152
0962	AP-BKB	LJ60
0970	AP-BKP	LJ45
0976	AP-BKV	AT75
0978	AP-BKX	AT75
0979	AP-BKY	AT75
0981	AP-BLA	A320
0982	AP-BLB	A320
0983	AP-BLC	A320
0988	AP-BLH	A320
0993	AP-BLS	A320
0994	AP-BLT	A320
0995	AP-BLU	A320
0996	AP-BLV	A320
0997	AP-BLW	A320
0999	AP-BLY	A320
099A	AP-BLZ	A320
09A6	AP-BMF	B190
09A7	AP-BMG	B772
09A8	AP-BMH	B772
09AD	AP-BMM	A321
09AE	AP-BMN	A321
09AF	AP-BMO	A321
09B0	AP-BMP	A321
09B3	AP-BMS	B77W
09B4	AP-BMT	B733
09B5	AP-BMU	B733
09B6	AP-BMV	A320
09B7	AP-BMW	A321
09B8	AP-BMX	A320
09B9	AP-BMY	A320
09C1	AP-BNA	B738
09C2	AP-BNB	B738
09C3	AP-BNC	B738
09C4	AP-BND	B738
09C5	AP-BNE	A332
09C6	AP-BNF	A332
09C7	AP-BNG	A332
09D5	AP-BNU	A320
09D6	AP-BNV	A320
09D7	AP-BNW	B733
09DA	AP-BNZ	B733
09E1	AP-BOA	A320
09E2	AP-BOB	A320
09E3	AP-BOC	A320
09E4	AP-BOD	A21N
09E5	AP-BOE	A21N
09E9	AP-BOI	B734
09EB	AP-BOK	A320
09EC	AP-BOL	A320
09ED	AP-BOM	A320
09EE	AP-BON	A320
09EF	AP-BOO	A320
09F0	AP-BOP	A320
09F1	AP-BOQ	A320
09F2	AP-BOR	A320
09F3	AP-BOS	A320
09F6	AP-BOV	A320
0A05	AP-BPE	A320
0A06	AP-BPF	A320
0A07	AP-BPG	A320
0A08	AP-BPH	A320
0A09	AP-BPI	A320
0A0A	AP-BPJ	A320
0A0B	AP-BPK	DH8D
0A0C	AP-BPL	A320
0A0E	AP-BPN	A320
0A15	AP-BPU	A320
0A90	AP-BTP	A139
1030	64144	C130
103F	4159	C130
1047	4270	GLF4
104B	4171	C130
1051	4177	C130
1052	4178	C130
105D	4189	C130
10D8	4153	C130
1481	AP-EDA	A320
1487	AP-EDG	A320
1488	AP-EDH	A320
166C	AP-ESL	C25B
1725	EYE751	C550
18CC	AP-FFL	CL60
1C2B	AP-GAK	CL60
209A	R09-001	IL76
2164	AP-HKD	CL60
2275	AP-HSU	CL60
24E3	AP-IGC	CL60
2AF3	J-755	GLF4
2BF4	J-756	GLF4
306C	AP-LCL	CL60
3987	4282	C130
3A68	AP-NSH	G280
402C	AP-PAL	BE40
4101	V-4101	E50P
4102	V-4102	E50P
4185	AP-PLE	BE20
42C3	AP-PVC	CL60
4841	AP-RBA	BE40
6021	PA-9834	GL5T
602A	A-1102	A319
6035	4476	C130
6038	4483	C130
6047	786-888	C68A
6048	J-758	GLEX
6050	786-99	GA6C
6051	PA-2057	E55P
6071	89-6189	MF17
89F3	9V-BOS	DA40
9101	9V-DHA	B77L
9102	9V-DHB	B77L
9103	9V-DHC	B77L
9104	9V-DHD	B77L
9105	9V-DHE	B77L
AA61	9V-JSA	A320
AA66	9V-JSF	A320
AA68	9V-JSH	A320
AA6E	9V-JSN	A320
AA70	9V-JSP	A320
AA72	9V-JSR	A320
AA76	9V-JSV	A320
AA78	9V-JSX	A320
B441	9V-MBA	B38M
B442	9V-MBB	B38M
B443	9V-MBC	B38M
B444	9V-MBD	B38M
B445	9V-MBE	B38M
B446	9V-MBF	B38M
B447	9V-MBG	B38M
B448	9V-MBH	B38M
B449	9V-MBI	B38M
B44A	9V-MBJ	B38M
B44B	9V-MBK	B38M
B44C	9V-MBL	B38M
B44D	9V-MBM	B38M
B44E	9V-MBN	B38M
B44F	9V-MBO	B38M
B450	9V-MBP	B38M
B451	9V-MBQ	B38M
B452	9V-MBR	B38M
B453	9V-MBS	B38M
B454	9V-MBT	B38M
B455	9V-MBU	B38M
B456	9V-MBV	B38M
B457	9V-MBW	B38M
B459	9V-MBY	B38M
B45A	9V-MBZ	B38M
B4E2	9V-MGB	B738
B4E3	9V-MGC	B738
B4E4	9V-MGD	B738
B4E5	9V-MGE	B738
B4E6	9V-MGF	B738
B4E8	9V-MGH	B738
B4EA	9V-MGJ	B738
B4EB	9V-MGK	B738
B4ED	9V-MGM	B738
B4EE	9V-MGN	B738
B4F0	9V-MGP	B738
B4F1	9V-MGQ	B738
B861	9V-NCA	A21N
B862	9V-NCB	A21N
B863	9V-NCC	A21N
B864	9V-NCD	A21N
B865	9V-NCE	A21N
B866	9V-NCF	A21N
B868	9V-NCH	A21N
B869	9V-NCI	A21N
B86A	9V-NCJ	A21N
B86B	9V-NCK	A21N
B86C	9V-NCL	A21N
B86D	9V-NCM	A21N
B86E	9V-NCN	A21N
BCC1	9V-OFA	B788
BCC2	9V-OFB	B788
BCC3	9V-OFC	B788
BCC4	9V-OFD	B788
BCC5	9V-OFE	B788
BCC7	9V-OFG	B788
BCC8	9V-OFH	B788
BCC9	9V-OFI	B788
BCCA	9V-OFJ	B788
BCCB	9V-OFK	B788
BCCC	9V-OFL	B788
BCCD	9V-OFM	B788
BCCE	9V-OFN	B788
BD41	9V-OJA	B789
BD42	9V-OJB	B789
BD43	9V-OJC	B789
BD44	9V-OJD	B789
BD45	9V-OJE	B789
BD46	9V-OJF	B789
BD47	9V-OJG	B789
BD48	9V-OJH	B789
BD49	9V-OJI	B789
BD4A	9V-OJJ	B789
BD4B	9V-OJK	B789
CC61	9V-SCA	B78X
CC62	9V-SCB	B78X
CC63	9V-SCC	B78X
CC64	9V-SCD	B78X
CC65	9V-SCE	B78X
CC66	9V-SCF	B78X
CC67	9V-SCG	B78X
CC68	9V-SCH	B78X
CC69	9V-SCI	B78X
CC6A	9V-SCJ	B78X
CC6B	9V-SCK	B78X
CC6C	9V-SCL	B78X
CC6D	9V-SCM	B78X
CC6E	9V-SCN	B78X
CC6F	9V-SCO	B78X
CC70	9V-SCP	B78X
CC71	9V-SCQ	B78X
CC72	9V-SCR	B78X
CC73	9V-SCS	B78X
CC74	9V-SCT	B78X
CC75	9V-SCU	B78X
CC76	9V-SCV	B78X
CC77	9V-SCW	B78X
CC79	9V-SCY	B78X
CC7A	9V-SCZ	B78X
CC81	9V-SDA	B78X
CC82	9V-SDB	B78X
CC83	9V-SDC	B78X
CCC9	9V-SFI	B744
CCCB	9V-SFK	B744
CCCC	9V-SFL	B744
CCCD	9V-SFM	B744
CCCE	9V-SFN	B744
CCCF	9V-SFO	B744
CCD0	9V-SFP	B744
CCD1	9V-SFQ	B744
CCE1	9V-SGA	A359
CCE2	9V-SGB	A359
CCE3	9V-SGC	A359
CCE4	9V-SGD	A359
CCE5	9V-SGE	A359
CCE6	9V-SGF	A359
CCE7	9V-SGG	A359
CD01	9V-SHA	A359
CD02	9V-SHB	A359
CD03	9V-SHC	A359
CD04	9V-SHD	A359
CD05	9V-SHE	A359
CD06	9V-SHF	A359
CD07	9V-SHG	A359
CD08	9V-SHH	A359
CD09	9V-SHI	A359
CD0A	9V-SHJ	A359
CD0B	9V-SHK	A359
CD0C	9V-SHL	A359
CD0D	9V-SHM	A359
CD0E	9V-SHN	A359
CD0F	9V-SHO	A359
CD10	9V-SHP	A359
CD11	9V-SHQ	A359
CD12	9V-SHR	A359
CD13	9V-SHS	A359
CD14	9V-SHT	A359
CD15	9V-SHU	A359
CD16	9V-SHV	A359
CD17	9V-SHW	A359
CD19	9V-SHY	A359
CD41	9V-SJA	A359
CD42	9V-SJB	A359
CD43	9V-SJC	A359
CD44	9V-SJD	A359
CD45	9V-SJE	A359
CD46	9V-SJF	A359
CD47	9V-SJG	A359
CD48	9V-SJH	A359
CD49	9V-SJI	A359
CD62	9V-SKB	A388
CD63	9V-SKC	A388
CD64	9V-SKD	A388
CD65	9V-SKE	A388
CD66	9V-SKF	A388
CD67	9V-SKG	A388
CD68	9V-SKH	A388
CD69	9V-SKI	A388
CD6A	9V-SKJ	A388
CD6B	9V-SKK	A388
CD6C	9V-SKL	A388
CD6D	9V-SKM	A388
CD6E	9V-SKN	A388
CD70	9V-SKP	A388
CD71	9V-SKQ	A388
CD72	9V-SKR	A388
CD73	9V-SKS	A388
CD74	9V-SKT	A388
CD75	9V-SKU	A388
CD76	9V-SKV	A388
CD77	9V-SKW	A388
CD79	9V-SKY	A388
CD7A	9V-SKZ	A388
CDA1	9V-SMA	A359
CDA2	9V-SMB	A359
CDA3	9V-SMC	A359
CDA4	9V-SMD	A359
CDA5	9V-SME	A359
CDA6	9V-SMF	A359
CDA7	9V-SMG	A359
CDA8	9V-SMH	A359
CDA9	9V-SMI	A359
CDAA	9V-SMJ	A359
CDAB	9V-SMK	A359
CDAC	9V-SML	A359
CDAD	9V-SMM	A359
CDAE	9V-SMN	A359
CDAF	9V-SMO	A359
CDB0	9V-SMP	A359
CDB1	9V-SMQ	A359
CDB2	9V-SMR	A359
CDB3	9V-SMS	A359
CDB4	9V-SMT	A359
CDB5	9V-SMU	A359
CDB6	9V-SMV	A359
CDB7	9V-SMW	A359
CDB9	9V-SMY	A359
CDBA	9V-SMZ	A359
CDC1	9V-SNA	B77W
