0000	VH-AAA	DH83
0002	VH-AAC	PC12
0004	VH-AAE	J1
0006	VH-AAG	C185
0007	VH-AAH	STOR
0008	VH-AAI	C421
0009	VH-AAJ	B06
000B	VH-AAL	C190
000C	VH-AAM	P208
000D	VH-AAN	RV6
000E	VH-AAO	DHC2
0011	VH-AAR	DH82
0012	VH-AAS	B350
0013	VH-AAT	FALM
0015	VH-AAV	PTS1
0016	VH-AAW	C206
0017	VH-AAX	DHC2
0018	VH-AAY	TRF1
0019	VH-AAZ	BL8
0024	VH-ABA	AUS5
0025	VH-ABB	B06
0026	VH-ABC	DH82
0027	VH-ABD	DV20
0028	VH-ABE	J1
002A	VH-ABG	CH70
002C	VH-ABI	C172
002F	VH-ABL	DH82
0030	VH-ABM	R22
0031	VH-ABN	AS50
0033	VH-ABP	BE58
0034	VH-ABQ	P28B
0035	VH-ABR	DC3
0036	VH-ABS	J1
0037	VH-ABT	PTS1
0038	VH-ABU	R22
003A	VH-ABW	C172
003B	VH-ABX	P68
003C	VH-ABY	C172
003D	VH-ABZ	FA24
0040	VH-AB2	R22
0041	VH-AB3	AS50
0049	VH-ACB	C150
004A	VH-ACC	C560
004B	VH-ACD	H269
004C	VH-ACE	EAGL
004D	VH-ACF	R22
004F	VH-ACH	C510
0050	VH-ACI	C150
0052	VH-ACK	D150
0054	VH-ACM	C172
0055	VH-ACN	R44
0056	VH-ACO	C150
0057	VH-ACP	P28A
005A	VH-ACS	DH94
005B	VH-ACT	R44
005D	VH-ACV	JS32
005E	VH-ACW	R44
0060	VH-ACY	AP32
0061	VH-ACZ	PA32
0066	VH-AC4	SLG4
0068	VH-AC6	SLG4
006C	VH-ADA	BL8
006D	VH-ADB	G164
006E	VH-ADC	R44
006F	VH-ADD	PA24
0070	VH-ADE	PA31
0071	VH-ADF	C182
0074	VH-ADI	C172
0075	VH-ADJ	M20P
0076	VH-ADK	CP30
0077	VH-ADL	H269
0079	VH-ADN	DHA3
007A	VH-ADO	H269
007B	VH-ADP	PA22
007D	VH-ADR	C172
007E	VH-ADS	ADVE
007F	VH-ADT	AIGT
0080	VH-ADU	P28T
0081	VH-ADV	S22T
0082	VH-ADW	DH82
0083	VH-ADX	C172
0084	VH-ADY	MG15
0085	VH-ADZ	C172
0091	VH-AEB	P28A
0092	VH-AEC	BN2P
0093	VH-AED	RV10
0094	VH-AEE	C206
0095	VH-AEF	C337
0096	VH-AEG	R44
0097	VH-AEH	C206
0098	VH-AEI	C206
009A	VH-AEK	C175
009B	VH-AEL	M7
009C	VH-AEM	BE95
009D	VH-AEN	P28A
009E	VH-AEO	B47G
00A0	VH-AEQ	EXEC
00A1	VH-AER	FOX
00A2	VH-AES	DC3
00A3	VH-AET	B47G
00A4	VH-AEU	BN2P
00A5	VH-AEV	C337
00A6	VH-AEW	J1
00A7	VH-AEX	C206
00A8	VH-AEY	C310
00B4	VH-AFA	P28B
00B5	VH-AFB	C172
00B6	VH-AFC	C172
00B7	VH-AFD	AUJ2
00B8	VH-AFE	T18
00BA	VH-AFG	RV6
00BB	VH-AFH	P28A
00BC	VH-AFI	PA38
00BD	VH-AFJ	EXEC
00BE	VH-AFK	SLG4
00BF	VH-AFL	DHC1
00C0	VH-AFM	C172
00C1	VH-AFN	FU24
00C2	VH-AFO	P28A
00C4	VH-AFQ	C172
00C5	VH-AFR	C172
00C6	VH-AFS	P28A
00C8	VH-AFU	FU24
00C9	VH-AFV	B06
00CA	VH-AFW	PA31
00CC	VH-AFY	PA31
00CD	VH-AFZ	P208
00D0	VH-AF2	PA34
00D8	VH-AGA	J3
00D9	VH-AGB	B47G
00DA	VH-AGC	PA11
00DB	VH-AGD	P28A
00DC	VH-AGE	C310
00DD	VH-AGF	C185
00DE	VH-AGG	G2CA
00E0	VH-AGI	RV8
00E1	VH-AGJ	P51
00E2	VH-AGK	B06
00E4	VH-AGM	CJ1
00E5	VH-AGN	HROC
00E6	VH-AGO	DH94
00E7	VH-AGP	C150
00E9	VH-AGR	CA25
00EA	VH-AGS	ULTS
00EB	VH-AGT	C150
00EC	VH-AGU	DC3
00EE	VH-AGW	RYST
00EF	VH-AGX	C172
00F0	VH-AGY	DH82
00F1	VH-AGZ	STRK
00F4	VH-AG2	AT5T
00FC	VH-AHA	PA25
00FD	VH-AHB	BE23
00FE	VH-AHC	C182
00FF	VH-AHD	RYST
0100	VH-AHE	C206
0102	VH-AHG	PA22
0103	VH-AHH	C172
0105	VH-AHJ	R22
0106	VH-AHK	BE58
0107	VH-AHL	P28A
0108	VH-AHM	BE36
0109	VH-AHN	PA22
010B	VH-AHP	BE23
010C	VH-AHQ	B47G
010D	VH-AHR	P28S
010E	VH-AHS	PA18
0110	VH-AHU	GLAS
0111	VH-AHV	H269
0112	VH-AHW	S108
0113	VH-AHX	BE36
0114	VH-AHY	BE76
0115	VH-AHZ	BE23
0120	VH-AIA	R44
0121	VH-AIB	DH94
0122	VH-AIC	MR35
0123	VH-AID	B47G
0124	VH-AIE	C182
0125	VH-AIF	C150
0126	VH-AIG	KIS2
