0000	H-84	B212
0032	JA001G	GLF4
0039	JA001P	EC25
003D	JA001T	C25A
0043	JA001Z	C510
004E	JA002A	C560
0054	JA002G	GLF4
005B	JA002P	EC25
005F	JA002T	A109
0094	JA004C	A139
009D	JA004M	AS65
00A1	JA004R	EC45
00B6	JA005C	AS65
00CA	JA005Y	EC45
00FB	JA007D	B772
00FD	JA007F	SR22
0102	JA007L	A109
010F	JA007Z	TBM7
011D	JA008D	B772
0120	JA008G	C25C
013F	JA009D	B772
0142	JA009G	C25C
0169	JA00AX	A139
0190	JA00CN	DIMO
02F5	JA00TK	GLID
03A0	JA010C	SR22
03A1	JA010D	B772
03A4	JA010G	C25C
03A7	JA010K	EC35
03B4	JA010Y	B430
03C2	JA011C	SR22
03C6	JA011G	C25C
03D1	JA011T	SR22
03E4	JA012C	SR22
03E8	JA012G	C25C
0406	JA013C	SR22
0428	JA014C	SR22
044A	JA015C	SR22
046C	JA016C	SR22
048E	JA017C	SR22
04B0	JA018C	SR22
04D2	JA019C	SR22
04E4	JA019W	AS50
04EB	JA01AD	C208
04F1	JA01AK	R22
04F3	JA01AM	AT46
04F4	JA01AN	B737
04F5	JA01AP	EXPL
04FA	JA01AU	SF25
04FD	JA01AX	B430
0500	JA01BA	C172
0508	JA01BJ	C25C
0517	JA01BZ	B429
0532	JA01DC	C172
0541	JA01DT	BE58
0544	JA01DW	B429
054C	JA01EE	A139
0555	JA01EP	BE20
055D	JA01EX	EC35
0563	JA01FD	AS65
0568	JA01FJ	E170
0585	JA01GP	A109
0587	JA01GR	B738
0592	JA01HC	SF34
0593	JA01HD	B763
0598	JA01HJ	HDJT
0599	JA01HK	EC45
059F	JA01HR	AS65
05AA	JA01JC	AT46
05B5	JA01JP	HDJT
05C5	JA01KF	EC45
05C6	JA01KG	A109
05C7	JA01KH	P46T
05C8	JA01KJ	C25C
05C9	JA01KK	AS50
05CB	JA01KM	DA42
05F9	JA01MK	EC35
060F	JA01NH	H160
0613	JA01NM	G109
0646	JA01QQ	AT76
0652	JA01RC	C25C
0659	JA01RK	B738
065D	JA01RP	A139
0665	JA01RX	B505
0682	JA01TC	SR20
0689	JA01TK	C172
06D0	JA01WJ	A35K
06E8	JA01XJ	A359
0701	JA01YK	S22T
0732	JA020A	SR20
080A	JA026N	AS50
082C	JA027N	AS50
0868	JA029E	R66
0886	JA02AL	C172
0888	JA02AN	B737
0891	JA02AX	B430
089D	JA02BK	EC45
08B9	JA02CP	EC35
08F1	JA02EX	AS65
08FC	JA02FJ	E170
0901	JA02FP	EC35
091B	JA02GR	B738
0924	JA02HA	EC35
0926	JA02HC	SF34
093E	JA02JC	AT46
0944	JA02JJ	A320
0959	JA02KF	AS65
095A	JA02KG	A109
095F	JA02KM	DA42
099C	JA02NA	B412
09B6	JA02PC	A109
09DA	JA02QQ	AT76
09ED	JA02RK	B738
0A64	JA02WJ	A35K
0A7C	JA02XJ	A359
0A99	JA02YP	EC35
0C1A	JA03AL	C172
0C1C	JA03AN	B737
0C1D	JA03AP	A109
0C45	JA03CF	AS65
0C4D	JA03CP	EC35
0C8B	JA03FD	A139
0C90	JA03FJ	E75S
0C95	JA03FP	AS65
0CAF	JA03GR	B738
0CB8	JA03HA	EC35
0CBA	JA03HC	SF34
0CC5	JA03HP	A109
0CD2	JA03JC	AT46
0CD8	JA03JJ	A320
0CEE	JA03KG	A109
0CF3	JA03KM	DA42
0D25	JA03MP	AS32
0D81	JA03RK	B738
0DF8	JA03WJ	A35K
0DFD	JA03WP	EC35
0E10	JA03XJ	A359
0E2D	JA03YP	EC35
0FA4	JA04AA	C680
0FB0	JA04AN	B737
0FB1	JA04AP	A169
101F	JA04FD	AS65
1024	JA04FJ	E170
1035	JA04GB	K100
1043	JA04GR	B738
1066	JA04JC	AT46
106C	JA04JJ	A320
10B9	JA04MP	EC25
1115	JA04RK	B738
114E	JA04TU	R22
118C	JA04WJ	A35K
11A4	JA04XJ	A359
11C1	JA04YP	A169
1344	JA05AN	B737
136F	JA05CH	B430
1375	JA05CP	EC45
13B8	JA05FJ	E75S
13D7	JA05GR	B738
13ED	JA05HP	A139
13FA	JA05JC	AT46
1400	JA05JJ	A320
1442	JA05MC	A320
14A8	JA05RJ	CRJ7
14A9	JA05RK	B738
14E2	JA05TU	R22
14E3	JA05TV	B430
1520	JA05WJ	A35K
1538	JA05XJ	A359
16D8	JA06AN	B737
16E2	JA06AY	A169
1747	JA06FD	A139
174C	JA06FJ	E75S
176B	JA06GR	B738
1777	JA06HD	S76
178E	JA06JC	AT76
1794	JA06JJ	A320
17D1	JA06LX	A169
17D6	JA06MC	A320
183C	JA06RJ	CRJ7
183D	JA06RK	B738
1877	JA06TV	EC35
18B4	JA06WJ	A35K
18CC	JA06XJ	A359
1A63	JA07AD	PA46
1A6C	JA07AN	B737
1A6F	JA07AR	A139
1AB7	JA07DR	B505
1AE0	JA07FJ	E75S
1B22	JA07JC	AT46
1B28	JA07JJ	A320
1B3E	JA07KG	A109
1B45	JA07KP	B06
1B6A	JA07MC	A320
1BD0	JA07RJ	CRJ7
1BD1	JA07RK	B738
1C28	JA07VA	A320
1C48	JA07WJ	A35K
1C60	JA07XJ	A359
1CDD	JA081T	EC35
1E00	JA08AN	B737
1E39	JA08CX	EC55
1E6E	JA08FC	AS65
1E74	JA08FJ	E75S
1EB6	JA08JC	AT76
1EBC	JA08JJ	A320
1ED2	JA08KG	A109
1F14	JA08NA	R44
1F64	JA08RJ	CRJ7
1F65	JA08RK	B738
1FDC	JA08WJ	A35K
1FF4	JA08XJ	A359
2194	JA09AN	B737
2208	JA09FJ	E75L
224A	JA09JC	AT46
2250	JA09JJ	A320
2292	JA09MC	A320
22F8	JA09RJ	CRJ7
22F9	JA09RK	B738
2322	JA09TC	R44
232F	JA09TR	A139
2350	JA09VA	A320
2370	JA09WJ	A35K
2388	JA09XJ	A359
59D7	JA100F	AS65
5A02	JA101Q	BE58
5A1D	JA102H	SR20
5A43	JA103M	R66
5A61	JA104H	SR20
5AC7	JA107H	C172
5B0D	JA109K	A109
5B0F	JA109M	A109
5B10	JA109N	A109
5B11	JA109P	A109
5B12	JA109Q	A109
5B9C	JA10FJ	E75L
5BBB	JA10GR	A139
5BCC	JA10HJ	HDJT
5BDE	JA10JC	AT46
5BE4	JA10JJ	A320
5BF8	JA10KE	R44
5C3B	JA10MZ	C25M
5C57	JA10PD	EC35
5C8C	JA10RJ	CRJ7
5C8D	JA10RK	B738
5CB8	JA10TE	A139
5CE4	JA10VA	A320
5D04	JA10WJ	A35K
5D1C	JA10XJ	A359
5D37	JA10YM	A109
5D66	JA110A	A109
5D6D	JA110H	A109
5D77	JA110T	EC35
5D78	JA110U	EC55
5D7A	JA110W	A109
5D7C	JA110Y	B412
5D88	JA111A	A321
5D8F	JA111H	C172
5D9E	JA111Y	E300
5DAA	JA112A	A321
5DCC	JA113A	A321
5DD3	JA113H	C172
5DEE	JA114A	A321
5E39	JA116H	C172
5E54	JA117A	BK17
5E55	JA117B	BK17
5E56	JA117C	EC45
5E63	JA117R	EC45
5E65	JA117T	BK17
5E79	JA118D	EC35
5E82	JA118N	C560
5E9B	JA119D	EC35
5E9C	JA119E	AS65
5E9E	JA119G	AS65
5E9F	JA119H	B412
5EA0	JA119J	B412
5EA1	JA119K	EC45
5EA3	JA119M	A139
5EA5	JA119P	B412
5EA9	JA119T	B412
5EAC	JA119W	A139
5EAD	JA119X	AS65
5EAE	JA119Y	EC25
5EAF	JA119Z	AS65
5EB8	JA11AJ	C208
5EBC	JA11AN	B737
5EBD	JA11AP	EC45
5EC6	JAIIAY	C25C
5EC8	JA11BA	C172
5F30	JA11FJ	E75L
5F58	JA11HA	DA42
5F5A	JA11HC	AT46
5F65	JA11HP	AS65
5F72	JA11JC	AT46
5F78	JA11JA	A320
5F9F	JA11KZ	B748
5FC5	JA11MP	EC55
6020	JA11RJ	CRJ7
6021	JA11RK	B738
6078	JA11VA	A320
6098	JA11WJ	A35K
60B0	JA11XJ	A359
60FD	JA120D	EC35
6106	JA120N	C560
611C	JA121A	HDJT
611D	JA121B	P46T
611F	JA121D	EC35
6128	JA121N	BE20
612D	JA121T	B430
6132	JA121Y	HDJT
614A	JA122N	BE20
6164	JA123E	PA34
6165	JA123F	C510
616D	JA123P	HDJT
6171	JA123T	PA46
61A4	JA125A	AS50
61A7	JA125D	EC35
61AD	JA125K	AS50
61C9	JA126D	B429
620D	JA128D	B429
622F	JA129D	EC35
624C	JA12AJ	C208
6250	JA12AN	B737
62C4	JA12FJ	E75L
62EC	JA12HA	DA42
62EE	JA12HC	AT46
630C	JA12JJ	A320
6333	JA12KZ	B748
6359	JA12MP	A139
63B4	JA12RJ	CRJ7
63B5	JA12VA	A320
640C	JA12RK	B738
6444	JA12XJ	A359
648E	JA130A	AS50
6495	JA130H	EC30
64B0	JA131A	A21N
64C6	JA131Y	A139
64D2	JA132A	A21N
64F4	JA133A	A21N
6516	JA134A	A21N
6538	JA135A	A21N
653C	JA135E	EC35
653E	JA135G	EC35
653F	JA135H	EC35
654F	JA135Z	R66
655A	JA136A	A21N
657C	JA137A	A21N
659E	JA138A	A21N
65C0	JA139A	A21N
65CB	JA139M	A139
65CF	JA139R	A139
65E0	JA13AJ	C208
6658	JA13FJ	E75L
6680	JA13HA	DA42
6682	JA13HC	AT46
66A0	JA13JJ	A320
66C7	JA13KZ	B748
66ED	JA13MP	A139
6705	JA13NP	A139
6712	JA13PC	A109
6748	JA13RJ	CRJ7
6822	JA140A	A21N
6844	JA141A	A21N
6866	JA142A	A21N
6888	JA143A	A21N
68AA	JA144A	A21N
68CC	JA145A	A21N
68CE	JA145C	EC45
68EE	JA146A	A21N
6910	JA147A	A21N
6932	JA148A	A21N
6954	JA149A	A21N
6974	JA14AJ	C208
6978	JA14AN	B737
69B5	JA14DB	BE58
69EC	JA14FJ	E75L
6A16	JA14HC	AT46
6A34	JA14JJ	A320
6A51	JA14KP	A109
6A5B	JA14KZ	B748
6A81	JA14MP	A139
6AA8	JA14PE	B429
6ADC	JA14RJ	CRJ7
6B07	JA14TD	A139
6B34	JA14VA	A320
6B59	JA14WP	E300
6B6C	JA14XJ	A359
6BB6	JA150A	A21N
6BD8	JA151A	A21N
6BE9	JA151T	EC35
6BFA	JA152A	A21N
6C0B	JA152T	B505
6C10	JA152Y	A139
6C26	JA153L	EC45
6C67	JA155H	EC55
6D02	JA15AC	A109
6D0C	JA15AN	B737
6D0F	JA15AR	A139
6D4A	JA15DC	BE58
6D80	JA15FJ	E75L
6DA8	JA15HA	DA42
6DC8	JA15JJ	A320
6DE5	JA15KP	A139
6DEF	JA15KZ	B748
6E15	JA15MP	EC55
6EA5	JA15TP	B429
6EC8	JA15VA	A320
