0007	N486MS	C72R
0008	N486MT	PAY4
000A	N486MV	KR2
0012	N486NC	UH1
002A	N486PB	PC12
0039	N486PS	M20P
003D	N486PW	GLID
0062	N486RH	RV8
006E	N486RV	RV7
0076	N486SC	CRUZ
007B	N486SH	EN48
008F	N486TC	C82T
009E	N486TT	C56X
00A6	N486UA	A320
00C1	N486VC	H25B
00D7	N486W	RV9
00D9	N486WB	S22T
00DA	5H-HAD	C208	A
00E1	N486WK	SONX
00E3	N486WM	GLF4
00E4	N486WN	B737
013C	N4860A	PA22
013D	N4860B	C152
013F	N4860D	C182
0148	N4860N	ST75
014E	N4860U	P28A
0150	N4860W	BE35
0152	N4860Y	PA25
0153	N4860Z	PA22
0157	N48603	TAYD
015F	N4861A	PA22
0162	N4861D	C182
0165	N4861G	C172
0169	N4861L	P28A
016F	N4861S	C82R
0171	N4861U	C210
0172	N4861V	C72R
0177	N48610	C152
0179	N48612	J3
017A	N48613	G164
017B	N48614	G164
017D	N48616	S1
0181	N4862	TAYD
0182	N4862A	PA22
0185	N4862D	C182
0186	N4862E	C82R
0189	N4862H	DFLY
018A	N4862J	BE95
018B	N4862K	NAVI
018C	N4862L	P28A
0191	N4862R	C188
0194	N4862U	C210
0196	N4862W	AC11
0198	N4862Y	PA25
019A	N48620	AR6T
019F	N48625	G164
01A4	N4863	G164
01A5	N4863A	PA22
01A6	N4863B	C310
01A8	N4863D	SR20
01AF	N4863L	P28A
01B1	N4863N	ST75
01B3	N4863Q	C188
01B5	N4863S	PA32
01B6	N4863T	C82R
01B7	N4863U	C210
01B8	N4863V	BL17
01B9	N4863W	AC11
01BC	N4863Z	PA22
01C1	N48634	TAYD
01C2	N48635	G164
01C4	N48637	C152
01C5	N48638	TAYD
01CB	N4864D	C172
01CC	N4864E	CH7A
01CD	N4864F	P28A
01CE	N4864G	C172
01D0	N4864J	BD4
01D2	N4864L	P28A
01D3	N4864M	PA11
01D4	N4864N	ST75
01DE	N4864Y	C210
01E3	N48643	G164
01E4	N48644	TAYD
01E5	N48645	G164
01E8	N48648	AR6T
01EE	N4865D	C172
01EF	N4865E	CH7A
01F2	N4865H	PA17
01F6	N4865M	PA11
01F7	N4865N	ST75
01F8	N4865P	P210
01FB	N4865S	PA32
01FD	N4865U	C210
01FE	N4865V	BL17
0200	N4865X	SS2P
0202	N4865Z	PA22
0203	N48650	C152
0205	N48652	S1
0206	N48653	AR6T
0208	N48655	G164
0209	N48656	AR6T
020A	N48657	AR6T
020B	N48658	G164
020C	N48659	G164
0211	N4866D	C182
0212	N4866E	CH7B
0215	N4866H	RV8
0219	N4866M	PA11
0220	N4866U	A319
0221	N4866V	ST75
0222	N4866W	AC11
0226	N48660	AR6T
0227	N48661	AR6T
0228	N48662	AR6T
022A	N48664	G164
0233	N4867C	C185
0234	N4867D	C172
0239	N4867J	BE95
023A	N4867K	P210
023B	N4867L	P28A
023C	N4867M	PA11
023F	N4867Q	GLID
0243	N4867U	C210
0245	N4867W	AC11
024A	N48671	FA62
024B	N48672	G164
024E	N48675	G164
0250	N48677	G164
0252	N48679	J3
0253	N4868	CL60
0254	N4868A	C310
0256	N4868C	SA6
0258	N4868E	C172
025B	N4868H	PA17
025C	N4868J	BE95
025D	N4868K	NAVI
025E	N4868L	P28A
025F	N4868M	PA11
0260	N4868N	C182
0266	N4868U	A319
0267	N4868V	DUCE
026E	N48682	J3
0272	N48686	J3
0277	N4869A	PA22
0278	N4869B	PA32
0279	N4869C	C185
027A	N4869D	C182
027B	N4869E	CH7A
027D	N4869G	C172
027F	N4869J	BE95
0280	N4869K	NAVI
0281	N4869L	C152
0282	N4869M	PA11
0283	N4869N	C182
0289	N4869U	A319
028F	N48690	C152
0290	N48691	J3
0293	N48694	J3
0295	N48696	J3
029A	N487A	P28A
029D	N487AC	CH7A
02A0	N487AF	MU2
02A5	N487AL	B407
02AB	N487AS	B739
02B4	N487BA	MT
02CD	N487CA	CRJ2
02CE	N487CB	C525
02CF	N487CC	BE17
02D8	N487CM	B763
02E4	N487CZ	COZY
02E6	N487DA	SR20
02E7	N487DB	C177
02E8	N487DC	CH7A
02EB	N487DF	H60
02F7	N487DT	PRM1
030A	N487EM	AVTR
030E	N487ER	C172
0322	N487FL	P28A
0325	N487FP	BE9T
0328	N487FS	P51
032D	N487FX	GLF4
0333	N487GC	GLIM
034A	N487HA	B712
034B	N487HB	AS50
0357	N487HP	BE33
036A	N487JH	BE10
036D	N487JL	GLF5
0376	N487JV	KR1
0387	N487KM	C340
0394	N487L	P46T
039A	N487LF	EC45
03A0	N487LM	PC12
03A2	N487LP	PIAT
03AE	N487MA	DV20
03B0	N487MC	B744
03C3	N487MX	MX2
03D3	N487NN	BE20
03DF	N487P	P28A
03E0	N487PA	GLST
03E1	N487PB	SR22
03E2	N487PC	PC12
03E6	N487PG	SR20
041B	N487RK	PC12
0425	N487RV	RV7
042B	N487SA	DA40
042D	N487SC	PA24
0430	N487SF	BE30
0431	N487SG	B407
0438	N487SP	C172
043A	N487SR	SR22
0440	N487SX	SONX
0443	N487T	BE35
044F	N487TM	BE40
0455	N487TT	C25B
0458	N487TW	MIMU
045D	N487UA	A320
0461	N487UE	JS32
0478	N487VC	BE20
048E	N487W	PIVI
0490	N487WB	FOX
049B	N487WN	B737
04A8	N487XA	C150
04C7	N487YG	MT
04F3	N4870A	MUS2
04F6	N4870D	C172
04F7	N4870E	CH7A
04F9	N4870G	C172
04FA	N4870H	PA17
04FD	N4870L	P28A
04FE	N4870M	PA11
0500	N4870P	C152
0504	N4870T	PA32
0505	N4870U	P28A
0508	N4870X	SS2P
0510	N48705	FA62
0514	N48709	AR6T
0518	N4871C	P28A
051A	N4871E	CH7B
051B	N4871F	T206
051E	N4871J	BE35
0525	N4871R	C182
0526	N4871S	PA32
0527	N4871T	C82R
0529	N4871V	C72R
052A	N4871W	AC11
052E	N48710	C152
0539	N4872A	PA18
053C	N4872D	C172
053D	N4872E	CH7A
0540	N4872H	C82S
0541	N4872J	BE35
0542	N4872K	P210
0543	N4872L	P28A
0544	N4872M	T34T
0549	N4872S	PA32
054B	N4872U	C210
0556	N48725	C152
