0001	N808EH	P28A
0002	N808EJ	RV7
0009	N808ER	DA40
000A	N808ES	C150
000B	N808ET	DA40
000F	N808EX	DH8A
0016	N808FD	A310
0019	N808FG	A139
001A	N808FH	C208
0023	N808FS	T210
0028	N808FX	AS55
002E	N808GC	A139
0031	N808GF	GLIM
0032	N808GG	C750
0033	N808GH	MT
0034	N808GJ	PA18
0036	N808GL	SR22
0039	N808GP	PC12
003B	N808GR	BE35
003D	N808GT	AS50
0040	N808GW	SR22
004A	N808HF	GLIM
004C	N808HH	S22T
0055	N808HS	R22
0059	N808HW	SR22
005D	N808J	AVID
005E	N808JA	RV8
0061	N808JD	SAVG
0063	N808JF	GLIM
0064	N808JG	GLF5
0065	N808JH	H500
0068	N808JL	SAVG
0069	N808JM	GA6C
006A	N808JN	C25B
006B	N808JP	PTS2
006D	N808JR	SA50
006E	N808JS	PC12
006F	N808JT	R44
0072	N808JW	TBM7
0073	N808JX	GLIM
0077	N808KA	P28A
0078	N808KB	SR20
0082	N808KM	P28A
0086	N808KR	SH36
008F	N808L	PRM1
0090	N808LA	P46T
0091	N808LB	R44
0092	N808LC	BE58
0093	N808LD	RV8
0095	N808LF	AS50
0097	N808LH	SAVG
0099	N808LK	RV9
009A	N808LL	R44
009F	N808LR	C68A
00A3	N808LV	GLF6
00A9	N808MA	C208
00AA	N808MB	B429
00AB	N808MC	H25B
00AE	N808MF	GLF4
00AF	N808MG	AT5T
00B0	N808MH	EC30
00B3	N808ML	UH1
00B5	N808MN	C56X
00B6	N808MP	FOX
00B8	N808MR	DH8C
00B9	N808MS	SR22
00BA	N808MT	B407
00BD	N808MW	P28B
00C1	N808N	PA30
00C2	N808NA	GLF2
00C4	N808NC	CL30
00C5	N808ND	P28R
00C9	N808NH	BE36
00CE	N808NN	B738
00D1	N808NR	SAVG
00D6	N808NW	A333
00D9	N808NZ	AT8T
00DA	N808P	T18
00DB	N808PA	RV7
00DD	N808PC	DHC6
00DE	N808PD	E545
00DF	N808PE	C172
00E2	N808PH	B407
00E3	N808PJ	H60
00E4	N808PK	RV9
00EB	N808PS	RV8
00EC	N808PT	PA22
00F3	N808Q	B06
0104	N808QS	C700
010C	N808R	BE35
010E	N808RB	ST75
010F	N808RC	C340
0113	N808RG	LEG2
0116	N808RK	P28A
0117	N808RL	C210
011C	N808RR	SAVG
011D	N808RS	EXEC
011E	N808RT	DHC6
0120	N808RV	RV8
0121	N808RW	S22T
0126	N808SA	AS50
0127	N808SB	H500
0129	N808SD	C56X
012A	N808SE	RV12
012B	N808SF	F900
012C	N808SG	RV10
012D	N808SH	PISI
012E	N808SJ	RV8
0130	N808SL	SAVG
0131	N808SM	PA31
0132	N808SN	GLIM
0134	N808SQ	PRM1
0135	N808SR	KR2
013A	N808SW	BE9L
013B	N808SX	SONX
013C	N808SY	B738
0140	N808TB	RV7
0141	N808TC	GLF5
0147	N808TJ	B734
0149	N808TL	TL20
014C	N808TP	C72R
014E	N808TR	SH36
014F	N808TS	BE33
0150	N808TT	TRDO
0153	N808TW	C340
0154	N808TX	PISI
0158	N808UA	A319
015D	N808UF	C172
017B	N808VL	B738
0180	N808VR	RV8
0181	N808VS	R66
0182	N808VT	P28R
0189	N808W	LJ45
018A	N808WA	MD83
018D	N808WD	P28R
018F	N808WF	RV6
0195	N808WM	M20P
0199	N808WR	BE36
019A	N808WS	QIC2
019B	N808WT	R44
01A2	N808X	GLIM
01B8	N808XX	GA7C
01D4	N808Z	RV8
01D5	N808ZA	BE35
01E6	N808ZT	C206
01EE	N8080A	P28A
01EF	N8080B	C172
01F0	N8080C	SR22
01F4	N8080G	C77R
01F7	N8080K	G164
01FA	N8080N	BE33
01FB	N8080P	BE36
01FF	N8080T	C175
0200	N8080U	P28R
0201	N8080V	C188
0203	N8080X	C172
0204	N8080Y	R22
0206	N80800	C172
0207	N80801	GC1
0209	N80803	C172
020B	N80805	GC1
0211	N8081A	C170
0213	N8081C	PA18
0214	N8081D	PA18
0215	N8081E	C185
0217	N8081G	P28A
0218	N8081H	RV4
021A	N8081K	G164
021B	N8081L	C172
021C	N8081M	C310
021E	N8081P	P28A
021F	N8081Q	PA34
0220	N8081R	BE35
0222	N8081T	C175
0224	N8081V	C188
0226	N8081X	C182
0227	N8081Y	PA30
0229	N80810	C172
022B	N80812	TRDO
022F	N80816	C172
0230	N80817	GC1
0232	N80819	GC1
0233	N8082	GLID
0236	N8082C	PA18
0237	N8082D	PA18
0238	N8082E	C172
023B	N8082H	P28A
023D	N8082K	P28A
023E	N8082L	C172
023F	N8082M	C150
0241	N8082P	PA24
0243	N8082R	BE36
0246	N8082U	P51
0248	N8082W	P28A
0249	N8082X	C172
024C	N80820	GC1
0250	N80824	GC1
0253	N80827	GC1
0255	N80829	GC1
0256	N8083	TBM8
0257	N8083A	MU2
025A	N8083D	PA18
025C	N8083F	BE36
0261	N8083L	P28A
0262	N8083M	C310
0266	N8083R	BE33
0267	N8083S	C150
026A	N8083V	P28B
026B	N8083W	P28A
026C	N8083X	COY2
026D	N8083Y	P28B
026F	N80830	C172
0272	N80833	GC1
0273	N80834	P28B
0275	N80836	GC1
0276	N80837	C172
0277	N80838	P28B
027A	N8084A	C170
027B	N8084B	C77R
027F	N8084F	C150
0281	N8084H	SREY
0283	N8084K	S108
0286	N8084N	P28A
0287	N8084P	PA24
028A	N8084S	C150
028B	N8084T	C175
028E	N8084W	P28A
028F	N8084X	C172
0290	N8084Y	PA30
0293	N80841	C172
0294	N80842	C172
0296	N80844	GC1
0298	N80846	GC1
0299	N80847	C172
029C	N8085	GLID
029D	N8085A	P28A
029E	N8085B	C172
02A7	N8085L	C172
02A9	N8085N	BE36
02AB	N8085Q	C414
02AC	N8085R	BE95
02AD	N8085S	C150
02AE	N8085T	BE40
02B1	N8085W	P28A
02B2	N8085X	P28A
02B4	N8085Z	P28R
02B5	N80850	GC1
02B6	N80851	GC1
02B8	N80853	P28A
02BA	N80855	C172
02BB	N80856	GC1
02BF	N8086	GLID
02C0	N8086A	C170
02C2	N8086C	PA18
02C3	N8086D	PA18
02C4	N8086E	P28A
02C6	N8086G	P28A
02C7	N8086H	P28A
02C9	N8086K	P28A
02CB	N8086M	C310
02CC	N8086N	P28B
02CE	N8086Q	PA34
02D1	N8086T	C175
02D2	N8086U	COY2
02D5	N8086X	C172
02DA	N80862	GC1
02DC	N80864	C172
02DD	N80865	C172
02DE	N80866	C172
02DF	N80809	B350
02E0	N80868	C172
02E1	N80869	GC1
02E2	N8087	SF50
02E3	N8087A	C170
02E4	N8087B	PA32
02E5	N8087C	P28B
02E6	N8087D	P28B
02E7	N8087E	P32R
02E8	N8087F	C150
02E9	N8087G	VP2
02EA	N8087H	T28
02ED	N8087L	C172
02F0	N8087P	PA24
02F2	N8087R	BE36
02F3	N8087S	C150
02F7	N8087W	P28A
02F8	N8087X	C172
02F9	N8087Y	PA30
02FB	N80870	C172
02FC	N80871	C172
02FD	N80872	C172
0307	N8088B	PA32
0308	N8088C	PA18
030A	N8088E	P28B
030D	N8088H	P28B
030E	N8088J	BE36
0310	N8088L	C172
0315	N8088R	BE95
0316	N8088S	C150
0317	N8088T	P28B
031B	N8088X	C172
031C	N8088Y	PA30
031D	N8088Z	P28B
031F	N80881	GC1
0321	N80883	GC1
0322	N80884	C172
0324	N80886	P28B
0325	N80887	RS12
0326	N80888	GC1
0327	N80889	GC1
0329	N8089A	PA34
032A	N8089B	P28R
032B	N8089C	P28A
032D	N8089E	C172
032E	N8089F	C150
032F	N8089G	C77R
0330	N8089H	T28
0336	N8089P	PA24
0337	N8089Q	PA34
0339	N8089S	C150
033A	N8089T	C175
033C	N8089V	P28B
033D	N8089W	P28A
0347	N80896	C172
034A	N80899	C150
034C	N809A	PA22
034D	N809AA	B788
0351	N809AE	E135
0358	N809AM	DA40
035A	N809AP	RV6
035D	N809AS	SR22
0361	N809AW	A319
0365	N809B	L8
0370	N809BL	BE36
0373	N809BP	CLBR
0377	N809BT	C172
037A	N809BW	M20P
037E	N809C	PA46
037F	N809CA	CRJ2
0380	N809CB	AT8T
0381	N809CC	C206
0382	N809CD	SR22
0386	N809CH	S92
038B	N809CN	HDJT
038C	N809CP	C82T
038E	N809CR	S22T
0390	N809CT	FDCT
0392	N809CV	SR20
0398	N809DA	GLF5
