0001	N937DM	B739
0005	N937DR	C72R
0006	N937DS	DA40
001E	N937ER	C172
0022	N937EV	CRJ2
002B	N937FD	B752
0040	N937G	FOX
0041	N937GA	GA7C
0059	N937H	EFOX
0074	N937JB	A321
0083	N937JS	C680
0087	N937JW	KR2
0088	N937JX	E145
009D	N937KT	CH75
00A7	N937LC	NG5
00B6	N937LT	PA44
00BD	N937M	PIVI
00E0	N937NK	A20N
00E3	N937NN	B738
00F7	N937PH	S92
0108	N937Q	BE35
0119	N937QS	C68A
0122	N937RA	BE40
0128	N937RG	C25B
012D	N937RM	L8
0135	N937RV	BE40
013B	N937SA	C172
013D	N937SC	BE20
0146	N937SM	E55P
014F	N937SW	CRJ2
0153	N937T	BE35
0154	N937TA	E190
0158	N937TE	AA5
015A	N937TG	UF13
0165	N937TT	PA31
0169	N937TX	RS12
0185	N937V	BE95
019E	N937W	S05R
01A0	N937WB	BE33
01AB	N937WN	B737
01B7	N937X	FOX
01C0	N937XJ	CRJ9
0203	N9370A	C190
0205	N9370C	C180
0209	N9370G	C182
020A	N9370H	BE17
020F	N9370N	P28R
0211	N9370Q	BE33
0212	N9370R	C172
0213	N9370S	BE23
0215	N9370U	C82S
0216	N9370V	B38M
0218	N9370X	C82R
021A	N9370Z	BE18
0220	N93705	ERCO
0221	N93706	C152
0222	N93707	C172
0226	N9371A	C195
0228	N9371C	PA34
022A	N9371E	AR11
022E	N9371J	P28A
022F	N9371K	P28A
0232	N9371N	P28R
0233	N9371P	PA24
0234	N9371Q	BE35
0236	N9371S	BE24
0239	N9371V	M20P
023A	N9371W	P28B
023B	N9371X	C182
023C	N9371Y	C82S
023E	N93710	BL17
023F	N93711	CH7A
0240	N93712	ERCO
0242	N93714	BL17
0244	N93716	ERCO
0245	N93717	ERCO
024A	N9372B	C175
024F	N9372G	C182
0250	N9372H	C172
0251	N9372J	P28A
0255	N9372N	P28R
0256	N9372P	PA24
0257	N9372Q	BE33
0259	N9372S	BE24
025C	N9372V	M20P
