04FC	22-03495	H64
08A2	22-03496	H64
0948	23-0013	AT8T
094E	24-03542	H64
0955	25-21325	H60
0956	23-14563	H60
09C4	22-03497	H64
09CE	24-03532	H64
0A4A	24-21288	H60
0A4C	24-21299	H60
0A4D	22-03498	H64
1CB7	22-03499	H64
202D	170974	BE20
2030	23-46123	B762
203A	24-03555	H64
20C1	170748	BE20
2136	22-03500	H64
213C	96-26698	H60
2172	170750	BE20
351F	DEFAULT	F35
37A5	23-46119	B762
37B7	24-03551	H64
37C3	25-21334	H60
384C	170744	BE20
38BE	22-03501	H64
3B45	22-46100	B762
3B53	04	GA7C	A
3B55	170347	H53S
3B62	25-21315	H60
3B64	23-14553	H60
3B67	25-7007	BT7
3BC2	170113	H60
3BC6	170294	H53S
3BC9	22-1008	A139
3BCA	19-46107	B762
3BCC	23-1021	A139
3BCD	25-21309	H60
3BCF	21-0079	V22
3BDA	21-08491	H47
3BDD	170758	BE20
3BDE	170756	BE20
3BE1	6064	H60	A
3BE2	170765	BE20
3BE4	6067	H60
3BEA	22-14543	H60
3C49	22-14535	H60
3C4E	170291	H53S
3C51	21-14525	H60
3C55	22-03502	H64
3C5B	90-26219	H60
3C5F	18-20984	H60
3C88	22-03503	H64
4A7B	168207	B350
4DD8	22-03504	H64
4DDD	97-26752	H60
4EE1	170348	H53S
4EE3	170776	BE20
4EE7	22-46101	B762
4EED	25-21316	H60
4EF0	25-7008	BT7
4EF1	23-14554	H60
4F2F	170114	H60
4F31	170295	H53S
4F35	25-21310	H60
4F43	170757	BE20
4F46	170759	BE20
4F47	6065	H60
4F4B	23-1022	A139
4F4D	19-46109	B762
4F60	22-14544	H60
4FA1	22-14536	H60
4FA7	21-14526	H60
4FA9	169883	E2
4FAA	22-03505	H64
4FAB	24-21300	H60
4FB3	18-20985	H60
5149	22-03506	H64
53B8	23-03507	H64
548D	24-03554	H64
54C1	170344	F18S
54C4	170747	BE20
551B	23-03508	H64
551E	02-26959	H60
612B	24-03557	H64
61C6	23-03509	H64
61CA	97-26755	H60
662D	23-03510	H64
6BBD	24-03558	H64
6BCB	23-03511	H64
6C00	170751	BE20
6C50	23-03512	H64
6C56	97-26751	H60
7831	23-03513	H64
8023	23-03514	H64
83E8	25-3200	B748
83EB	170346	H53S
83F0	24-9049	GLEX
83F3	25-33000	B748
83FA	25-21314	H60
83FE	25-7006	BT7
83FF	23-14552	H60
8403	22-46099	B762
841C	170112	H60
841D	170293	H53S
841E	23-1018	A139
8420	22-1007	A139
8423	21-01004	H47
8434	6063	H60
8437	170754	BE20
8439	170755	BE20
8440	23-1020	A139
8444	19-46108	B762
8447	21-0078	V22
8455	21-08490	H47
8457	170764	BE20
8458	22-14542	H60
847A	22-14537	H60
8483	23-03515	H64
8486	21-14527	H60
8487	97-26754	H60
8489	170292	H53S
848C	18-20986	H60
85A8	170973	BE20
85AC	24-03540	H64
85AE	25-21323	H60
85B0	23-14561	H60
85B8	23-1016	A139
85E7	23-14551	H60
85FB	22-14538	H60
85FC	23-03516	H64
85FF	94-26535	H60
8601	24-21289	H60
8602	21-14528	H60
8603	18-20987	H60
8606	24-21301	H60
878B	23-03517	H64
9B59	24-03538	H64
9B5D	23-14559	H60
9B66	22-46106	B762
9B68	22-1014	A139
9B91	23-14549	H60
9BA1	22-14539	H60
9BA4	23-03518	H64
9BA5	21-14529	H60
9BA8	06-27089	H60
9BA9	24-21302	H60
9BAB	18-20988	H60
9E17	24-03552	H64
9E18	25-21335	H60
9E24	170745	BE20
9E2A	23-46120	B762
9E53	23-03519	H64
A151	23-14557	H60
A152	25-21319	H60
A15E	170763	BE20
A161	170339	F18S
A162	22-1012	A139
A173	24-1025	A139
A174	22-46104	B762
A175	19-46111	B762
A187	23-03520	H64
A189	22-14540	H60
A18B	21-14530	H60
A18C	18-20989	H60
A190	23-14547	H60
A191	24-21303	H60
A195	170766	BE20
A80D	25-21327	H60
A813	24-03544	H64
A822	23-03521	H64
A827	18-20990	H60
A82A	24-21290	H60
A82B	24-21304	H60
ABA9	23-03522	H64
ABAD	00-26872	H60
B21B	170329	F18S
B220	23-14560	H60
B234	23-03523	H64
B238	18-20991	H60
B23A	21-14531	H60
B23C	22-14541	H60
B23E	24-21305	H60
B24B	23-14550	H60
B24F	170771	BE20
B673	23-03524	H64
B674	95-26617	H60
B8A2	23-03525	H64
B8A9	24-03561	H64
C658	25-21326	H60
C659	23-1019	A139
C660	24-03543	H64
C662	23-03526	H64
C664	18-20992	H60
C669	24-21291	H60
C66A	24-21306	H60
C673	24-03533	H64
CA0A	24-0018	AT8T
CA14	25-21330	H60
CA17	23-03527	H64
CA18	18-20993	H60
CA1F	24-21307	H60
CA20	24-21292	H60
CA22	24-03547	H64
DAA6	23-03528	H64
EA6A	23-03529	H64
EAC6	25-21332	H60
EAC9	24-03549	H64
EAD2	23-46117	B762
EAD4	23-03530	H64
EAD6	24-03539	H64
EC5C	6066	H60	A
EFFC	23-0017	AT8T
EFFD	25-21329	H60
F003	24-03546	H64
F005	24-21293	H60
F006	24-21308	H60
F009	18-20994	H60
F011	24-03536	H64
F012	23-46114	B762
F47E	24-21284	H60
FFFF	MM81701	A109
