0004	TC-52	F28
0007	TC-61	C130
0008	TC-64	C130
0017	TC-85	DHC6
0018	T-22	LJ35
001C	E-501	G120
001D	AE-225	C208
001F	E-504	G120
0022	TC-69	C130
0023	LV-S007	SIRA
0025	E-505	G120
0026	E-506	G120
0027	E-507	G120
0028	E-508	G12T
002A	E-510	G12T
002E	AE-106	DHC6
002F	GN-807	PC6T
0030	AE-186	C55B
0031	LV-S012	SIRA
0036	LV-S016	ASTO
0037	LV-X544	LEG2
0038	LV-S022	ECHO
003C	LV-S023	SIRA
003D	LV-S028	SIRA
003E	LV-S030	P208
0040	LV-S029	ECHO
0047	AE-227	C208
0048	AE-228	C208
0049	TC-70	C130
004D	LV-S039	SIRA
004E	LV-S040	P208
004F	E-556	SIRA
0051	LV-S042	ECHO
0053	E-300	TEX2
0054	E-301	TEX2
0058	E-305	TEX2
0059	E-306	TEX2
005A	E-307	TEX2
005B	E-308	TEX2
005C	E-309	TEX2
005D	E-310	TEX2
005E	E-311	TEX2
0062	LV-S046	P208
0063	LV-S048	ASTO
0066	LV-S050	SIRA
006A	LV-S056	SIRA
006B	GN-805	PC6T
006C	GN-925	EC35
006F	LV-S060	SIRA
0072	LV-S054	SIRA
0074	LV-S064	SIRA
0075	LV-S059	EV97
0076	LV-S010	ECHO
0077	LV-X666	SLG4
0079	LV-S069	SIRA
007C	PG-446	P28B
007D	PG-355	C182
007E	LV-S070	P208
0080	LV-S072	SIRA
0082	LV-X693	EVSS
0088	LV-X680	RV7
0089	LV-S076	SIRA
008A	LV-S074	NG5
008B	LV-S077	SIRA
008C	LV-S078	ASTO
008D	LV-S079	ECHO
008E	LV-X737	VTRA
0090	AE-310	B06
0094	TC-66	C130
0095	LV-S081	ECHO
0099	LV-X739	RV7
009A	LV-S088	SIRA
009C	LV-S086	SIRA
009D	LV-S101	SIRA
009E	LV-S085	ECHO
009F	LV-S094	SIRA
00A0	LV-S095	SIRA
00A2	LV-S099	ECHO
00A4	LV-S100	ECHO
00AB	AE-323	B06
00AC	LV-S089	EVSS
00AE	T-99	B737
00B0	LV-X770	RV12
00B1	LV-X552	RV7
00B2	LV-X610	RV7
00B4	LV-S111	NG5
00B6	LV-S105	SIRA
00B7	LV-S106	ECHO
00B9	LV-S114	ECHO
00BA	LV-S113	ECHO
00BC	LV-S116	EV97
00BD	LV-S091	NG5
00BF	LV-S118	ASTO
00C5	LV-S134	ECHO
00C6	A-104	TUCA	A
00C7	A-122	TUCA
00C8	LV-S131	ECHO
00CA	LV-S138	ECHO
00CE	LV-S143	ECHO
00D3	LV-S135	ECHO
00D6	LV-S133	ECHO
00D7	LV-S137	ECHO
00DA	LV-S150	SIRA
00DB	LV-S141	ECHO
00DD	ARG-01	B752
00DF	LV-S153	EV97
00E0	LV-S154	ECHO
00E1	LV-S142	ECHO
00E2	LV-S144	ASTO
00E8	LV-X862	NG5
00EE	LV-X662	SLG2
00EF	T-95	E135
00F0	T-96	E135
00F4	LV-S157	ASTO
00F5	LV-S161	ECHO
00F6	LV-S160	ECHO
00F7	LV-S159	P208
00F8	LV-JQM	C177
00F9	A-128	TUCA
00FA	LV-X946	RV10
0100	H-111	B407
010E	T-94	E135
E943	914	GLF4
