001E	PR-FDG	T210
007B	6700	E145
007C	6701	E145
007D	6750	E145
0086	6050	H25A	A
0087	6051	H25B	A
0088	6052	H25A	A
0089	6053	H25A	A
008B	FAB6752	E145
008C	6703	E145
0093	6704	E145
0095	2461	C130
0096	2462	C130
009B	2467	C130
009D	2471	C130
009E	2472	C130
009F	2473	C130
00A1	2475	C130
00A2	2476	C130
00A3	2477	C130
00B0	6100	LJ55
00B4	4101	E145
00C2	5905	E314
00C3	FAB5703	E314
00D4	PP-XMA	E190
00D9	2101	A319
00E0	5919	E314
00E5	5924	E314
00E9	5928	E314
00F7	5939	E314
00F8	5940	E314
0106	5945	E314
010B	5720	E314
010C	5947	E314
010D	5948	E314
0110	5723	E314
0123	2580	E135
0125	PT-SXP	E120
012D	2584	E135
0130	PP-XVJ	E55P
0132	PP-XVL	E55P
0135	2520	E145
0137	2522	E145
0138	2523	E145
0139	2524	E145
0140	2581	E35L
0141	2582	E135
0142	2583	E135
0144	2585	E135
014D	8500	EC35
015B	5730	E314
015F	5701	E314
0168	FAB5960	E314
0172	PP-BCO	E35L
0173	PS-RZN	E550
0175	PR-JFD	E550
0177	PR-LHI	E550
0179	PR-REV	E50P
0187	PR-TDM	E50P
0188	PT-TRS	R66
018B	PR-LHD	E550
018C	PR-LHJ	E545
019C	PR-JED	E545
019F	PR-LLQ	E545
01A4	PT-TBI	C182
01A5	PR-LKL	E550
01A7	PR-JDX	E550
01AE	PT-EEH	PA34
01B9	PR-LJT	E190
01BA	PT-TPT	R66
01C9	PR-LKB	E550
01CC	PR-LGY	E550
01CD	PR-ZXL	E550
0410	5938	E314
0489	FAB5719	E314
1AA3	49027	A149
2610	PU-FPW	B350
4A23	PS-TST	B429
6C41	PR-STR	BE36
7621	PT-LZT	BE9T
776E	PR-FMR	PA34
7A12	PP-SBM	SR22
7CC0	PT-WQI	C525
7D08	PT-OMU	C650
7D10	PT-ORC	C560
7D19	PT-OTS	C560
7D25	PT-MPE	C525
7D27	PT-OVU	C650
7D2A	PT-MGS	C650
7D34	PT-MIL	C525
7D4F	PT-WJS	BE40
7D52	PT-WLK	BE20
7D61	PT-MMV	C55B
7D79	FAB2164	E110
7DEF	PT-WYC	F2TH
7DFC	PT-YZB	EC35
7DFD	PR-DPF	E145
7DFE	2526	E145
7E05	PT-FNP	C525
7E10	PT-MZG	A320
7E14	PT-WUM	C750
7E16	PP-JFM	C56X
7E19	PP-CRS	C525
7E1D	PT-WYU	C56X
7E1E	PP-JJZ	C525
7E28	PP-CFF	F2TH
7E29	PT-MZI	A320
7E2B	PP-ORM	C55B
7E40	2550	E145
7E41	PP-JGV	C56X
7E51	PT-MZL	A320
7E57	PP-OAA	C55B
7E58	PT-XGS	LJ60
7E59	PT-XFS	LJ60
7E5C	PR-ABV	C525
7E63	PR-ARA	C525
7E66	PT-MZT	A320
7E67	PT-MZU	A320
7E68	PT-MZW	A320
7E6A	PT-MZY	A320
7E71	PR-SAD	E55P
7E74	PT-MZZ	A320
7E76	PR-LJM	C525
7E7A	PR-GON	B737
7E7C	PR-VBQ	B737
7E7D	PR-GOP	B738
7E7E	PR-GOQ	B737
7E7F	PR-GOR	B737
7E91	PT-FTC	C25A
7E92	PT-FTE	C25A
7E93	PR-JST	C25A
7E99	PR-XJS	LJ60
7E9D	PP-MBJ	S76
7EA0	PR-MAG	A320
7EAF	PT-YTU	AS50
7EB0	PR-EOB	C525
7EB1	PR-GAM	C56X
7EB4	PR-JAQ	C750
7EBC	PR-MAK	A320
7EBE	PR-MAL	A319
7EC0	PR-MAQ	A319
7EC1	PR-MAM	A319
7EC2	PR-MAN	A319
7EC3	PT-FTG	C25A
7EC5	PR-MAP	A320
7EC7	PR-MAO	A319
7EC9	PR-GOW	B737
7ED1	PR-GTE	B738
7ED3	PP-BMG	C55B
7ED7	PR-VAL	C208
7ED8	PT-XLR	LJ45
7EE6	PT-OSW	H25B
7EEC	PR-BBS	B737
7EED	PR-FRV	PA34
7EF1	PR-OTA	LJ45
7EF2	PT-NUU	P28A
7EF8	PR-FEP	C55B
7EFA	PP-MMS	C208
7F05	PT-LHC	C650
7F07	PR-DBB	H25B
7F08	PR-OFT	GALX
7F09	PR-WYW	FA50
7F0F	PR-LRJ	LJ31
7F17	PR-LUG	H25B
7F18	PP-WRV	BE40
7F19	PR-XXI	C750
7F1C	PR-MVB	BE40
7F21	PR-ABD	B763
7F23	PT-XSX	C55B
7F24	PP-JBS	C525
7F25	PT-WHC	BE40
7F29	PT-JAA	H25B
7F32	PR-ONE	LJ40
7F3E	PR-CMD	C208
7F3F	PR-HZA	EC35
7F41	PR-NTX	C25A
7F42	PT-FFN	BE30
7F43	PP-JSC	B350
7F45	PP-MDB	C56X
7F46	PP-ACP	H25B
7F47	PR-JDB	B350
7F49	PT-WHB	BE40
7F4A	PR-MAZ	A320
7F4F	PR-GTC	B738
7F50	PR-GTF	B738
7F51	PR-GTG	B738
7F57	PR-TGT	B350
7F58	PR-CBM	EC35
7F5B	FAB2020	E120
7F5E	PR-GGC	PA34
7F63	PT-GAF	H25B
7F64	PR-MPF	C650
7F6E	PT-LPN	C550
7F70	PR-GIH	B737
7F76	PR-CON	C56X
7F7E	PT-PAC	BE9L
7F7F	PR-TIN	BE9L
7F83	PT-WGF	LJ35
7F84	PT-KZR	LJ35
7F89	PT-WNQ	BE20
7F8C	PT-WSI	B350
7F94	PR-PJD	LJ31
7F96	PT-MMF	BE20
7F9A	PT-LVD	FA10
7FA0	PT-LJQ	C550
7FA6	PR-MBA	A320
7FA7	PR-MBG	A320
7FA8	PR-GTH	B738
7FAA	PR-GTJ	B738
7FB2	PR-ACT	BE20
7FB3	PP-PEM	B407
7FB8	PR-FKY	BE9L
7FB9	PR-LFT	C56X
7FBF	PR-XIB	BE9L
7FC2	PR-EJL	PA34
7FC9	PR-JRR	PRM1
